SECUCODE	证券代码
SECURITY_NAME_ABBR	证券简称
REPORT_DATE	报告日期
REPORT_TYPE	报告类型
REPORT_DATE_NAME	报告日期名称
CURRENCY	货币单位
CASH_DEPOSIT_PBC	存放中央银行款项
DEPOSIT_INTERBANK	存放同业款项
PRECIOUS_METAL	贵金属
LEND_FUND	拆出资金
FVTPL_FINASSET	以公允价值计量且变动计入损益的金融资产
TRADE_FINASSET	交易性金融资产
DERIVE_FINASSET	衍生金融资产
BUY_RESALE_FINASSET	买入返售金融资产
ACCOUNTS_RECE	应收账款
INTEREST_RECE	应收利息
LOAN_ADVANCE	发放贷款及垫款
TRADE_FINASSET_NOTFVTPL	交易性金融资产（非FVTPL）
CREDITOR_INVEST	债权投资
OTHER_CREDITOR_INVEST	其他债权投资
OTHER_EQUITY_INVEST	其他权益工具投资
AVAILABLE_SALE_FINASSET	以公允价值计量且变动计入其他综合收益的金融资产
HOLD_MATURITY_INVEST	持有至到期投资
INVEST_RECE	应收投资款
AMORTIZE_COST_FINASSET	以摊余成本计量的金融资产
FVTOCI_FINASSET	以公允价值计量且变动计入其他综合收益的金融资产
LONG_EQUITY_INVEST	长期股权投资
INVEST_REALESTATE	投资性房地产
FIXED_ASSET	固定资产
CIP	在建工程
USERIGHT_ASSET	使用权资产
INTANGIBLE_ASSET	无形资产
GOODWILL	商誉
PEND_MORTGAGE_ASSET	待抵押资产
MORTGAGE_ASSET_IMPAIRMENT	抵押资产减值准备
NET_PENDMORTGAGE_ASSET	待抵押资产净值
DEFER_TAX_ASSET	递延所得税资产
LONG_PREPAID_EXPENSE	长期待摊费用
OTHER_ASSET	其他资产
ASSET_OTHER	资产其他项目
ASSET_BALANCE	资产差额
TOTAL_ASSETS	资产总计
LOAN_PBC	向中央银行借款
IOFI_DEPOSIT	同业及其他金融机构存放款项
BORROW_FUND	拆入资金
TRADE_FINLIAB_NOTFVTPL	交易性金融负债（非FVTPL）
FVTPL_FINLIAB	以公允价值计量且变动计入损益的金融负债
TRADE_FINLIAB	交易性金融负债
DERIVE_FINLIAB	衍生金融负债
SELL_REPO_FINASSET	卖出回购金融资产
ACCEPT_DEPOSIT	吸收存款
OUTWARD_REMIT	汇出汇款
CD_NOTE_PAYABLE	应付同业存单
STAFF_SALARY_PAYABLE	应付职工薪酬
TAX_PAYABLE	应交税费
INTEREST_PAYABLE	应付利息
DIVIDEND_PAYABLE	应付股利
PREDICT_LIAB	预计负债
DEFER_TAX_LIAB	递延所得税负债
AMORTIZE_COST_FINLIAB	以摊余成本计量的金融负债
BOND_PAYABLE	应付债券
SUBBOND_PAYABLE	应付次级债券
LEASE_LIAB	租赁负债
OTHER_LIAB	其他负债
LIAB_OTHER	负债其他项目
LIAB_BALANCE	负债差额
TOTAL_LIABILITIES	负债总计
SHARE_CAPITAL	股本
OTHER_EQUITY_TOOL	其他权益工具
PREFERRED_SHARES	优先股
PERPETUAL_BOND	永续债券
CAPITAL_RESERVE	资本公积
OTHER_COMPRE_INCOME	其他综合收益
SURPLUS_RESERVE	盈余公积
GENERAL_RISK_RESERVE	一般风险准备
UNASSIGN_RPOFIT	未分配利润
CONVERT_DIFF	外币报表折算差额
PARENT_EQUITY_OTHER	母公司权益其他项目
PARENT_EQUITY_BALANCE	母公司权益差额
TOTAL_PARENT_EQUITY	母公司权益总额
MINORITY_EQUITY	少数股东权益
EQUITY_BALANCE	权益差额
TOTAL_EQUITY	权益总计
TOTAL_LIAB_EQUITY	负债及所有者权益总计
ACCRUED_EXPENSE	应计费用
