SECUCODE	证券代码
SECURITY_NAME_ABBR	证券简称
REPORT_DATE	报告日期
REPORT_TYPE	报告类型
REPORT_DATE_NAME	报告日期名称
CURRENCY	货币单位
DEPOSIT_IOFI_OTHER	存放同业和其他金融机构款项其他
CUSTOMER_DEPOSIT_ADD	客户存款净增加额
IOFI_ADD	同业和其他金融机构存放款项增加
LOAN_PBC_ADD	向中央银行借款增加
PBC_IOFI_REDUCE	中央银行存放款项减少
DEPOSIT_PBC_REDUCE	存放中央银行款项减少
DEPOSIT_IOFI_REDUCE	同业和其他金融机构存放款项减少
BORROW_REPO_ADD	回购借款增加
BORROW_FUND_ADD	拆入资金增加
SELL_REPO_ADD	卖出回购金融资产增加
LEND_RESALE_REDUCE	拆出资金返售协议减少
LEND_FUND_REDUCE	拆出资金减少
BUY_RESALE_REDUCE	买入返售金融资产减少
NET_CD	同业存单净变动
TRADE_FINLIAB_ADD	交易性金融负债增加
TRADE_FINASSET_REDUCE	交易性金融资产减少
RECEIVE_INTEREST_COMMISSION	收取利息和手续费净增加
RECEIVE_INTEREST	收取利息现金
RECEIVE_COMMISSION	收取手续费现金
DISPOSAL_MORTGAGE_ASSET	处置抵押资产收到的现金
WITHDRAW_WRITEOFF_LOAN	收回已核销贷款
RECEIVE_OTHER_OPERATE	收到其他与经营活动有关的现金
OPERATE_INFLOW_OTHER	经营活动现金流入其他项目
OPERATE_INFLOW_BALANCE	经营活动现金流入差额
TOTAL_OPERATE_INFLOW	经营活动现金流入总额
LOAN_ADVANCE_ADD	发放贷款及垫款增加
LOAN_PBC_REDUCE	向中央银行借款减少
PBC_IOFI_ADD	中央银行存放款项增加
DEPOSIT_PBC_ADD	存放中央银行款项增加
DEPOSIT_IOFI_ADD	同业和其他金融机构存放款项增加
INTERBANK_OTHER_REDUCE	同业往来其他减少
ISSUED_CD_REDUCE	发行同业存单减少
LEND_RESALE_ADD	拆出资金返售协议增加
LEND_FUND_ADD	拆出资金返售增加
BUY_RESALE_ADD	买入返售金融资产增加
BORROW_REPO_REDUCE	回购借款减少
BORROW_FUND_REDUCE	拆入资金减少
SELL_REPO_REDUCE	卖出回购金融资产减少
TRADE_FINASSET_ADD	交易性金融资产增加
TRADE_FINLIAB_REDUCE	交易性金融负债减少
PAY_INTEREST_COMMISSION	支付利息和手续费
PAY_INTEREST	支付利息现金
PAY_COMMISSION	支付手续费现金
PAY_STAFF_CASH	支付给职工的现金
PAY_ALL_TAX	支付的各项税费
ACCOUNTS_RECE_ADD	应收账款增加
PAY_OTHER_OPERATE	支付其他与经营活动有关的现金
OPERATE_OUTFLOW_OTHER	经营活动现金流出其他项目
OPERATE_OUTFLOW_BALANCE	经营活动现金流出差额
TOTAL_OPERATE_OUTFLOW	经营活动现金流出总额
OPERATE_NETCASH_OTHER	经营活动现金流量净额其他项目
OPERATE_NETCASH_BALANCE	经营活动现金流量净额差额
NETCASH_OPERATE	经营活动产生的现金流量净额
WITHDRAW_INVEST	收回投资收到的现金
RECEIVE_INVEST_INCOME	取得投资收益收到的现金
RECEIVE_DIVIDEND_PROFIT	取得股利、利润收到的现金
DISPOSAL_LONG_ASSET	处置长期资产收到的现金
DISPOSAL_SUBSIDIARY_JOINT	处置子公司及合营企业收到的现金
RECEIVE_OTHER_INVEST	收到其他与投资活动有关的现金
INVEST_INFLOW_OTHER	投资活动现金流入其他项目
INVEST_INFLOW_BALANCE	投资活动现金流入差额
TOTAL_INVEST_INFLOW	投资活动现金流入总额
INVEST_PAY_CASH	投资支付的现金
CONSTRUCT_LONG_ASSET	购建长期资产支付的现金
OBTAIN_SUBSIDIARY_OTHER	取得子公司及其他营业单位支付的现金
PAY_OTHER_INVEST	支付其他与投资活动有关的现金
INVEST_OUTFLOW_OTHER	投资活动现金流出其他项目
INVEST_OUTFLOW_BALANCE	投资活动现金流出差额
TOTAL_INVEST_OUTFLOW	投资活动现金流出总额
INVEST_NETCASH_OTHER	投资活动现金流量净额其他项目
INVEST_NETCASH_BALANCE	投资活动现金流量净额差额
NETCASH_INVEST	投资活动产生的现金流量净额
ISSUE_BOND	发行债券收到的现金
ISSUE_SUBBOND	发行次级债券收到的现金
ISSUE_OTHER_BOND	发行其他债券收到的现金
ACCEPT_INVEST_CASH	吸收投资收到的现金
SUBSIDIARY_ACCEPT_INVEST	子公司吸收投资收到的现金
ISSUE_CD	发行同业存单收到的现金
RECEIVE_ADD_EQUITY	取得新增股权收到的现金
RECEIVE_OTHER_FINANCE	收到其他与筹资活动有关的现金
FINANCE_INFLOW_OTHER	筹资活动现金流入其他项目
FINANCE_INFLOW_BALANCE	筹资活动现金流入差额
TOTAL_FINANCE_INFLOW	筹资活动现金流入总额
PAY_DEBT_CASH	偿还债务支付的现金
PAY_BOND_INTEREST	支付债券利息
ISSUE_SHARES_EXPENSE	发行股票支付的费用
ASSIGN_DIVIDEND_PORFIT	分配股利、利润支付的现金
PAY_OTHER_FINANCE	支付其他与筹资活动有关的现金
FINANCE_OUTFLOW_OTHER	筹资活动现金流出其他项目
FINANCE_OUTFLOW_BALANCE	筹资活动现金流出差额
TOTAL_FINANCE_OUTFLOW	筹资活动现金流出总额
FINANCE_NETCASH_OTHER	筹资活动现金流量净额其他项目
FINANCE_NETCASH_BALANCE	筹资活动现金流量净额差额
NETCASH_FINANCE	筹资活动产生的现金流量净额
RATE_CHANGE_EFFECT	汇率变动对现金的影响
CCE_ADD_OTHER	现金及现金等价物其他增加
CCE_ADD_BALANCE	现金及现金等价物增加差额
CCE_ADD	现金及现金等价物净增加额
BEGIN_CCE	期初现金及现金等价物余额
END_CCE_BALANCE	期末现金及现金等价物差额
END_CCE	期末现金及现金等价物余额
NETPROFIT	净利润
ASSET_IMPAIRMENT	资产减值准备
TRANSFER_INVEST_IMPAIRMENT	转回投资减值准备
OTHER_ASSET_IMPAIRMENT	其他资产减值准备
PROVISION_PREDICT_LIAB	预计负债计提
FA_IR_DEPR	固定资产折旧和无形资产摊销
FIXED_ASSET_DEPR	固定资产折旧
IA_LPE_AMORTIZE	无形资产和其他长期资产摊销
IA_AMORTIZE	无形资产摊销
LPE_AMORTIZE	长期待摊费用摊销
DISPOSAL_LONGASSET_LOSS	处置长期资产损失
FAIRVALUE_CHANGE_LOSS	公允价值变动损失
RECEIVE_WRITEOFF	收回已核销款项
INVEST_LOSS	投资损失
BOND_INTEREST_EXPENSE	债券利息支出
DEFER_TAX	递延所得税
DT_ASSET_REDUCE	递延所得税资产减少
DT_LIAB_ADD	递延所得税负债增加
LEND_ADD	贷款增加
OPERATE_RECE_REDUCE	经营性应收项目减少
OPERATE_PAYABLE_ADD	经营性应付项目增加
OTHER	其他调整项目
FBOPERATE_NETCASH_OTHER	间接法下经营活动现金流量其他项目
FBOPERATE_NETCASH_BALANCE	间接法下经营活动现金流量差额
FBNETCASH_OPERATE	间接法下经营活动现金流量净额
UNINVOLVE_INVESTFIN_OTHER	不涉及现金收支的投资和筹资活动其他
END_CASH	期末现金余额
BEGIN_CASH	期初现金余额
END_CASH_EQUIVALENTS	期末现金等价物余额
BEGIN_CASH_EQUIVALENTS	期初现金等价物余额
FBCCE_ADD_BALANCE	间接法下现金净增加额差额
FBCCE_ADD	间接法下现金净增加额
CREDIT_IMPAIRMENT_INCOME	信用减值损失转回
