SECUCODE	证券唯一代码
SECURITY_CODE	证券代码
SECURITY_NAME_ABBR	证券简称
ORG_CODE	机构编码
REPORT_DATE	报告日期
DATE_TYPE_CODE	日期类型代码
PER_NETCASH_OPERATE	每股经营现金流
PER_OI	每股营业收入
BPS	每股净资产
BASIC_EPS	基本每股收益
DILUTED_EPS	稀释每股收益
OPERATE_INCOME	营业收入
OPERATE_INCOME_YOY	营业收入同比增长
GROSS_PROFIT	毛利
GROSS_PROFIT_YOY	毛利同比增长
HOLDER_PROFIT	股东应占利润
HOLDER_PROFIT_YOY	股东应占利润同比增长
GROSS_PROFIT_RATIO	毛利率
EPS_TTM	滚动每股收益
OPERATE_INCOME_QOQ	营业收入环比增长
NET_PROFIT_RATIO	净利率
ROE_AVG	平均净资产收益率
GROSS_PROFIT_QOQ	毛利环比增长
ROA	资产回报率
HOLDER_PROFIT_QOQ	股东应占利润环比增长
ROE_YEARLY	年度净资产收益率
ROIC_YEARLY	年度投资回报率
TAX_EBT	税前利润税收调整
OCF_SALES	经营现金流营收比
DEBT_ASSET_RATIO	资产负债率
CURRENT_RATIO	流动比率
CURRENTDEBT_DEBT	流动负债占比
START_DATE	财年起始日
FISCAL_YEAR	财政年度
CURRENCY	报告货币
IS_CNY_CODE	是否人民币计价
