SECUCODE	证券代码
SECURITY_NAME_ABBR	证券简称
REPORT_DATE	报告日期
REPORT_TYPE	报告类型
REPORT_DATE_NAME	报告日期名称
CURRENCY	货币单位
OPERATE_INCOME	营业收入
INTEREST_NI	利息净收入
INTEREST_INCOME	利息收入
INTEREST_EXPENSE	利息支出
FEE_COMMISSION_NI	手续费及佣金净收入
FEE_COMMISSION_INCOME	手续费及佣金收入
FEE_COMMISSION_EXPENSE	手续费及佣金支出
INVEST_INCOME	投资收益
INVEST_JOINT_INCOME	对联营企业投资收益
FAIRVALUE_CHANGE_INCOME	公允价值变动收益
EXCHANGE_INCOME	汇兑收益
OTHER_BUSINESS_INCOME	其他业务收入
ASSET_DISPOSAL_INCOME	资产处置收益
OTHER_INCOME	其他收益
OPERATE_INCOME_OTHER	营业收入其他项目
OPERATE_INCOME_BALANCE	营业收入差额
OPERATE_EXPENSE	营业支出
OPERATE_TAX_ADD	营业税金及附加
BUSINESS_MANAGE_EXPENSE	业务管理费
ASSET_IMPAIRMENT_LOSS	资产减值损失
CREDIT_IMPAIRMENT_LOSS	信用减值损失
OTHER_BUSINESS_COST	其他业务成本
OPERATE_EXPENSE_OTHER	营业支出其他项目
OPERATE_PROFIT_OTHER	营业利润其他项目
OPERATE_PROFIT_BALANCE	营业利润差额
OPERATE_PROFIT	营业利润
NONBUSINESS_INCOME	非经营性收入
NONBUSINESS_EXPENSE	非经营性支出
EFFECT_TP_OTHER	影响税前利润的其他项目
TOTAL_PROFIT_BALANCE	利润总额差额
TOTAL_PROFIT	利润总额
INCOME_TAX	所得税费用
EFFECT_NETPROFIT_BALANCE	影响净利润差额
NETPROFIT	净利润
CONTINUED_NETPROFIT	持续经营净利润
PARENT_NETPROFIT	母公司净利润
MINORITY_INTEREST	少数股东权益
DEDUCT_PARENT_NETPROFIT	扣除母公司净利润
NETPROFIT_OTHER	净利润其他项目
BASIC_EPS	基本每股收益
DILUTED_EPS	稀释每股收益
OTHER_COMPRE_INCOME	其他综合收益
PARENT_OCI	母公司其他综合收益
MINORITY_OCI	少数股东其他综合收益
PARENT_OCI_OTHER	母公司其他综合收益其他项目
PARENT_OCI_BALANCE	母公司其他综合收益差额
UNABLE_OCI	不可重分类至损益的其他综合收益
SETUP_PROFIT_CHANGE	设定收益计划变动
UNABLE_OCI_OTHER	不可重分类至损益的其他综合收益-其他项目
ABLE_OCI	可重分类至损益的其他综合收益
RIGHTLAW_ABLE_OCI	权益法下可重分类的其他综合收益
AFA_FAIRVALUE_CHANGE	FVOCI金融资产公允价值变动
CASHFLOW_HEDGE_VALID	现金流量套期有效部分
CONVERT_DIFF	外币报表折算差额
ABLE_OCI_OTHER	可重分类至损益的其他综合收益-其他项目
ABLE_OCI_BALANCE	可重分类其他综合收益差额
OCI_OTHER	其他综合收益其他项目
OCI_BALANCE	其他综合收益差额
TOTAL_COMPRE_INCOME	综合收益总额
PARENT_TCI	母公司综合收益总额
MINORITY_TCI	少数股东综合收益总额
OTHERRIGHT_FAIRVALUE_CHANGE	其他权益工具公允价值变动
CREDITOR_FAIRVALUE_CHANGE	债权投资公允价值变动
CREDITOR_IMPAIRMENT_RESERVE	债权投资减值准备
ACF_END_INCOME	终止经营收益
ACF_END_EXPENSE	终止经营支出
ACF_END_PROFIT	终止经营利润
ACF_END_TOTAL_PROFIT	终止经营利润总额
