证券代码,证券简称,报告日期,报告类型,报告日期名称,货币单位,存放中央银行款项,存放同业款项,贵金属,拆出资金,以公允价值计量且变动计入损益的金融资产,交易性金融资产,衍生金融资产,买入返售金融资产,应收账款,应收利息,发放贷款及垫款,交易性金融资产（非FVTPL）,债权投资,其他债权投资,其他权益工具投资,以公允价值计量且变动计入其他综合收益的金融资产,持有至到期投资,应收投资款,以摊余成本计量的金融资产,以公允价值计量且变动计入其他综合收益的金融资产,长期股权投资,投资性房地产,固定资产,在建工程,使用权资产,无形资产,商誉,待抵押资产,抵押资产减值准备,待抵押资产净值,递延所得税资产,长期待摊费用,其他资产,资产其他项目,资产差额,资产总计,向中央银行借款,同业及其他金融机构存放款项,拆入资金,交易性金融负债（非FVTPL）,以公允价值计量且变动计入损益的金融负债,交易性金融负债,衍生金融负债,卖出回购金融资产,吸收存款,汇出汇款,应付同业存单,应付职工薪酬,应交税费,应付利息,应付股利,预计负债,递延所得税负债,以摊余成本计量的金融负债,应付债券,应付次级债券,租赁负债,其他负债,负债其他项目,负债差额,负债总计,股本,其他权益工具,优先股,永续债券,资本公积,其他综合收益,盈余公积,一般风险准备,未分配利润,外币报表折算差额,母公司权益其他项目,母公司权益差额,母公司权益总额,少数股东权益,权益差额,权益总计,负债及所有者权益总计,应计费用
000001.SZ,平安银行,2024-12-31 00:00:00,年报,2024年报,CNY,2689.73,1320.9,126.2,2672.52,,,654.12,327.19,,,32940.53,6295.71,7850.75,1766.55,57.73,,,,,,,2.98,86.34,,50.48,62.38,75.68,,,,523.29,,189.62,,0.0,57692.7,861.1,4478.77,556.41,1373.56,,,645.53,1311.81,35923.13,,,161.63,141.72,,,58.28,,,6952.0,,54.1,226.24,,0.0,52744.28,194.06,699.48,199.53,499.95,807.13,21.27,107.81,682.62,2436.05,,,0.0,4948.42,,0.0,4948.42,57692.7,
000001.SZ,平安银行,2024-09-30 00:00:00,三季报,2024三季报,CNY,2817.77,1231.03,112.24,2714.28,,,406.07,170.31,,,33036.31,6208.26,7774.03,1797.94,59.89,,,,,,,3.58,87.53,,51.5,61.53,75.68,,,,410.65,,441.28,,0.0,57459.88,1386.4,4852.39,797.43,1372.65,,,349.88,1062.44,35925.32,,,157.9,51.75,,,71.36,,,6135.47,,55.23,336.97,,0.0,52555.19,194.06,699.44,199.53,499.91,807.15,15.91,107.81,681.33,2398.99,,,0.0,4904.69,,0.0,4904.69,57459.88,
000001.SZ,平安银行,2024-06-30 00:00:00,中报,2024中报,CNY,3059.98,848.21,111.8,2598.21,,,453.94,494.61,,,33288.13,5740.21,7791.13,1535.7,59.09,,,,,,,3.19,91.8,,54.66,62.91,75.68,,,,424.66,,846.42,,0.0,57540.33,1262.98,5613.62,489.65,1202.97,,,410.26,399.26,36240.24,,,154.18,63.95,,,95.15,,,6079.32,,58.52,651.54,,0.0,52721.64,194.06,699.44,199.53,499.91,807.61,19.0,107.81,680.91,2309.86,,,0.0,4818.69,,0.0,4818.69,57540.33,
000001.SZ,平安银行,2024-03-31 00:00:00,一季报,2024一季报,CNY,3220.76,873.39,126.42,2341.63,,,425.11,387.04,,,33976.45,4869.75,7921.67,1601.5,62.17,,,,,,,3.26,94.38,,55.52,64.38,75.68,,,,443.08,,751.79,,0.0,57293.98,1651.51,5047.78,588.69,472.21,,,448.56,651.98,35070.75,,,140.32,113.34,,,108.07,,,7589.2,,59.76,496.05,,0.0,52438.22,194.06,699.44,199.53,499.91,807.61,26.09,107.81,680.48,2340.27,,,0.0,4855.76,,0.0,4855.76,57293.98,
000001.SZ,平安银行,2023-12-31 00:00:00,年报,2023年报,CNY,2746.63,935.97,96.8,2207.07,,,405.21,1108.3,,,33201.1,4502.93,7724.67,1619.31,62.14,,,,,,,3.35,98.14,,57.76,66.22,75.68,,,,457.57,,502.31,,0.0,55871.16,2087.83,4677.91,490.59,316.14,,,422.2,581.52,34582.87,,,171.89,93.8,,,134.98,,,7283.28,,62.1,242.77,,0.0,51147.88,194.06,699.44,199.53,499.91,807.61,22.64,107.81,679.17,2212.55,,,0.0,4723.28,,0.0,4723.28,55871.16,
000001.SZ,平安银行,2023-09-30 00:00:00,三季报,2023三季报,CNY,3501.43,983.04,98.59,1573.33,,,661.13,529.8,,,33389.25,4441.13,7456.61,1418.39,65.28,,,,,,,4.51,99.67,,59.11,65.11,75.68,,,,438.86,,302.96,,0.0,55163.88,2545.84,4206.98,348.09,640.04,,,681.23,133.49,35034.25,,,167.14,80.02,,,168.47,,,6232.35,,63.25,204.13,,0.0,50505.28,194.06,699.44,199.53,499.91,807.59,18.22,107.81,649.02,2182.46,,,0.0,4658.6,,0.0,4658.6,55163.88,
000001.SZ,平安银行,2023-06-30 00:00:00,中报,2023中报,CNY,3348.8,826.35,97.36,1413.41,,,716.89,639.23,,,33503.93,4283.68,7403.97,1505.11,66.94,,,,,,,4.43,103.26,,58.15,65.35,75.68,,,,433.63,,459.07,,0.0,55005.24,1378.83,4902.58,493.04,742.69,,,735.16,222.11,34250.59,,,161.53,62.01,,,157.52,,,7008.36,,62.18,307.91,,0.0,50484.51,194.06,699.44,199.53,499.91,807.57,22.58,107.81,648.73,2040.54,,,0.0,4520.73,,0.0,4520.73,55005.24,
000001.SZ,平安银行,2023-03-31 00:00:00,一季报,2023一季报,CNY,3176.42,1097.07,108.71,1204.21,,,218.73,739.82,,,33490.98,4145.25,7430.01,1662.02,68.79,,,,,,,4.57,106.81,,61.72,67.09,75.68,,,,426.85,,474.24,,0.0,54558.97,1294.66,4602.07,436.98,782.99,,,255.15,304.85,35105.85,,,150.42,159.19,,,117.7,,,6507.24,,66.0,308.42,,0.0,50091.52,194.06,699.44,199.53,499.91,807.56,21.84,107.81,648.48,1988.26,,,0.0,4467.45,,0.0,4467.45,54558.97,
000001.SZ,平安银行,2022-12-31 00:00:00,年报,2022年报,CNY,2852.77,983.29,165.55,1339.21,,,275.53,415.61,,,32422.58,4461.33,7318.5,1722.33,63.8,,,,,,,4.77,110.83,,65.3,68.79,75.68,,,,440.79,,428.48,,0.0,53215.14,1919.16,4072.78,573.93,649.43,,,365.25,133.03,33522.66,,,185.71,146.74,,,97.3,,,6920.75,,69.22,212.38,,0.0,48868.34,194.06,699.44,199.53,499.91,808.16,26.6,107.81,647.68,1863.05,,,0.0,4346.8,,0.0,4346.8,53215.14,
000001.SZ,平安银行,2022-09-30 00:00:00,三季报,2022三季报,CNY,3082.11,833.95,141.12,972.73,,,607.28,163.52,,,32146.89,3873.35,7458.21,1529.24,74.06,,,,,,,5.12,109.75,,66.48,66.99,75.68,,,,420.63,,324.22,,0.0,51951.33,1635.2,2712.68,394.69,1010.4,,,629.91,751.19,32836.43,,,173.75,128.65,,,92.36,,,7021.38,,70.16,240.69,,0.0,47697.49,194.06,699.44,199.53,499.91,808.16,15.16,107.81,592.47,1836.74,,,0.0,4253.84,,0.0,4253.84,51951.33,
