证券代码,证券简称,报告日期,报告类型,报告日期名称,货币单位,存放同业和其他金融机构款项其他,客户存款净增加额,同业和其他金融机构存放款项增加,向中央银行借款增加,中央银行存放款项减少,存放中央银行款项减少,同业和其他金融机构存放款项减少,回购借款增加,拆入资金增加,卖出回购金融资产增加,拆出资金返售协议减少,拆出资金减少,买入返售金融资产减少,同业存单净变动,交易性金融负债增加,交易性金融资产减少,收取利息和手续费净增加,收取利息现金,收取手续费现金,处置抵押资产收到的现金,收回已核销贷款,收到其他与经营活动有关的现金,经营活动现金流入其他项目,经营活动现金流入差额,经营活动现金流入总额,发放贷款及垫款增加,向中央银行借款减少,中央银行存放款项增加,存放中央银行款项增加,同业和其他金融机构存放款项增加,同业往来其他减少,发行同业存单减少,拆出资金返售协议增加,拆出资金返售增加,买入返售金融资产增加,回购借款减少,拆入资金减少,卖出回购金融资产减少,交易性金融资产增加,交易性金融负债减少,支付利息和手续费,支付利息现金,支付手续费现金,支付给职工的现金,支付的各项税费,应收账款增加,支付其他与经营活动有关的现金,经营活动现金流出其他项目,经营活动现金流出差额,经营活动现金流出总额,经营活动现金流量净额其他项目,经营活动现金流量净额差额,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,取得股利、利润收到的现金,处置长期资产收到的现金,处置子公司及合营企业收到的现金,收到其他与投资活动有关的现金,投资活动现金流入其他项目,投资活动现金流入差额,投资活动现金流入总额,投资支付的现金,购建长期资产支付的现金,取得子公司及其他营业单位支付的现金,支付其他与投资活动有关的现金,投资活动现金流出其他项目,投资活动现金流出差额,投资活动现金流出总额,投资活动现金流量净额其他项目,投资活动现金流量净额差额,投资活动产生的现金流量净额,发行债券收到的现金,发行次级债券收到的现金,发行其他债券收到的现金,吸收投资收到的现金,子公司吸收投资收到的现金,发行同业存单收到的现金,取得新增股权收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入其他项目,筹资活动现金流入差额,筹资活动现金流入总额,偿还债务支付的现金,支付债券利息,发行股票支付的费用,分配股利、利润支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出其他项目,筹资活动现金流出差额,筹资活动现金流出总额,筹资活动现金流量净额其他项目,筹资活动现金流量净额差额,筹资活动产生的现金流量净额,汇率变动对现金的影响,现金及现金等价物其他增加,现金及现金等价物增加差额,现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物差额,期末现金及现金等价物余额,净利润,资产减值准备,转回投资减值准备,其他资产减值准备,预计负债计提,固定资产折旧和无形资产摊销,固定资产折旧,无形资产和其他长期资产摊销,无形资产摊销,长期待摊费用摊销,处置长期资产损失,公允价值变动损失,收回已核销款项,投资损失,债券利息支出,递延所得税,递延所得税资产减少,递延所得税负债增加,贷款增加,经营性应收项目减少,经营性应付项目增加,其他调整项目,间接法下经营活动现金流量其他项目,间接法下经营活动现金流量差额,间接法下经营活动现金流量净额,不涉及现金收支的投资和筹资活动其他,期末现金余额,期初现金余额,期末现金等价物余额,期初现金等价物余额,间接法下现金净增加额差额,间接法下现金净增加额,信用减值损失转回
000001.SZ,平安银行,2024-12-31 00:00:00,年报,2024年报,CNY,944.86,,,,106.86,,,795.26,66.02,729.24,40.24,,40.24,,,,2189.79,,,,,1231.06,,0.0,5308.07,561.29,1214.84,,,,,,625.16,625.16,,,,,791.03,,840.14,,,201.52,238.27,,202.46,,0.0,4674.71,,0.0,633.36,6097.2,368.12,,3.45,,,,0.0,6468.77,6763.48,23.88,,,,0.0,6787.36,,0.0,-318.59,7339.97,,,,,,,,,0.0,7339.97,7784.65,52.31,,268.07,0.47,26.11,0.0,8079.3,,0.0,-739.33,11.83,,0.0,-412.73,2982.19,0.0,2569.46,445.08,,,,,16.06,15.91,14.23,8.14,6.09,0.32,-61.84,,-367.07,165.68,-65.07,-65.07,,,-2029.85,1998.98,,4.98,0.0,633.36,,34.21,36.87,2535.25,2945.32,0.0,-412.73,489.39
000001.SZ,平安银行,2024-09-30 00:00:00,三季报,2024三季报,CNY,1357.23,,,,257.7,,,785.36,305.44,479.92,39.77,,39.77,,,,1689.26,,,,,1256.15,,0.0,5385.47,433.47,696.17,,,,,,480.26,480.26,,,,,1268.72,,618.94,,,161.63,166.09,,188.61,,0.0,4013.89,,0.0,1371.58,4362.88,274.2,,1.87,,,,0.0,4638.95,4733.13,11.21,,,,0.0,4744.34,,0.0,-105.39,5130.4,,,,,,,,,0.0,5130.4,6377.61,28.98,,188.8,0.47,18.84,0.0,6585.72,,0.0,-1455.32,-5.94,,0.0,-195.07,2982.19,0.0,2787.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000001.SZ,平安银行,2024-06-30 00:00:00,中报,2024中报,CNY,2546.37,,,,304.15,,,0.1,0.1,,37.75,,37.75,,,,1156.75,,,,,1042.72,,0.0,5087.84,506.31,818.52,,,,,,471.35,471.35,,183.16,,183.16,1129.58,,457.6,,,119.97,122.07,,142.06,,0.0,3950.62,,0.0,1137.22,2748.31,191.85,,0.81,,,,0.0,2940.97,2653.73,6.31,,,,0.0,2660.04,,0.0,280.93,4529.44,,,,,,,,,0.0,4529.44,5796.63,28.99,,188.81,,12.81,0.0,5998.25,,0.0,-1468.81,10.32,,0.0,-40.34,2982.19,0.0,2941.85,258.79,,,,,8.3,8.22,7.01,3.97,3.04,-0.01,-71.55,,-191.16,92.22,34.12,34.12,,,-2072.72,2828.54,,0.62,0.0,1137.22,,33.39,36.87,2908.46,2945.32,0.0,-40.34,231.51
000001.SZ,平安银行,2024-03-31 00:00:00,一季报,2024一季报,CNY,797.97,,,,382.61,,,163.8,94.0,69.8,8.64,,8.64,,,,596.01,,,,,268.49,,0.0,2217.52,986.51,428.95,,,,,,257.35,257.35,,,,,329.36,,199.0,,,82.51,38.37,,109.29,,0.0,2431.34,,0.0,-213.82,1159.17,77.09,,0.17,,,,0.0,1236.43,1150.91,2.41,,,,0.0,1153.32,,0.0,83.11,2947.64,,,,,,,,,0.0,2947.64,2685.39,7.13,,27.42,,6.82,0.0,2719.63,,0.0,228.01,9.23,,0.0,106.53,2982.19,0.0,3088.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000001.SZ,平安银行,2023-12-31 00:00:00,年报,2023年报,CNY,1426.03,,,166.65,41.98,,,446.73,,446.73,,,,,,443.63,2515.64,,,,,249.69,,0.0,5290.35,1636.64,,,,,,,641.71,627.01,14.7,81.23,81.23,,,,812.98,,,223.46,320.0,,649.72,,0.0,4365.74,,0.0,924.61,4021.05,384.01,,2.19,,,,0.0,4407.25,4637.71,30.96,,,,0.0,4668.67,,0.0,-261.42,9334.16,,,,,,,,,0.0,9334.16,9088.07,53.93,,137.73,,27.47,0.0,9253.27,,0.0,80.89,14.85,,0.0,758.93,2223.26,0.0,2982.19,464.55,,,,,18.97,18.79,15.35,7.89,7.46,-0.07,-107.29,,-373.02,170.38,-15.36,-15.36,,,-1774.34,1907.78,,2.58,0.0,924.61,,36.87,41.62,2945.32,2181.64,0.0,758.93,590.17
000001.SZ,平安银行,2023-09-30 00:00:00,三季报,2023三季报,CNY,1421.73,,,622.27,,,,,,,24.18,,24.18,,,142.18,1927.73,,,,,257.81,,0.0,4395.9,1560.72,,3.83,,,,,230.16,230.16,,223.07,222.16,0.91,,,584.98,,,181.15,261.13,,191.56,,0.0,3236.6,,0.0,1159.3,3134.39,279.43,,1.46,,,,0.0,3415.28,2893.26,21.73,,,,0.0,2914.99,,0.0,500.29,6489.89,,,,,,,,,0.0,6489.89,7274.34,30.21,,105.81,,19.97,0.0,7400.12,,0.0,-910.23,34.53,,0.0,783.89,2223.26,0.0,3007.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000001.SZ,平安银行,2023-06-30 00:00:00,中报,2023中报,CNY,1417.24,,,,108.51,,,87.88,,87.88,17.79,2.06,15.73,,,243.77,1308.02,,,,,248.72,,0.0,3431.93,1491.76,540.9,,,,,,,,,80.95,80.95,,,,379.52,,,136.32,212.07,,148.0,,0.0,2989.52,,0.0,442.41,2107.27,190.69,,0.95,,,,0.0,2298.91,1902.33,9.49,,,,0.0,1911.82,,0.0,387.09,4728.27,,,,,,,,,0.0,4728.27,4694.73,29.49,,105.09,,14.09,0.0,4813.91,,0.0,-85.64,33.51,,0.0,777.37,2223.26,0.0,3000.63,253.87,0.39,,0.39,,9.76,9.67,7.06,3.69,3.37,-0.08,-119.46,,-180.18,83.56,8.56,8.56,,,-1429.16,1472.09,,0.66,0.0,442.41,,35.02,41.62,2965.61,2181.64,0.0,777.37,323.22
000001.SZ,平安银行,2023-03-31 00:00:00,一季报,2023一季报,CNY,2078.38,,,,24.29,,,173.56,,173.56,15.09,15.09,,,,362.67,661.83,,,,,261.39,,0.0,3577.21,1285.55,621.93,,,,,,9.31,,9.31,95.55,95.55,,,,194.66,,,92.46,46.52,,139.67,,0.0,2485.65,,0.0,1091.56,917.56,82.84,,1.3,,,,0.0,1001.7,927.51,3.94,,,,0.0,931.45,,0.0,70.25,1634.57,,,,,,,,,0.0,1634.57,2081.21,7.43,,27.72,,6.57,0.0,2115.5,,0.0,-480.93,-7.79,,0.0,673.09,2223.26,0.0,2896.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000001.SZ,平安银行,2022-12-31 00:00:00,年报,2022年报,CNY,4111.57,,,433.17,,,,147.1,147.1,,,,,,,,2488.91,,,,,536.76,,0.0,7717.51,3329.03,,214.05,,,,,547.15,526.97,20.18,343.33,,343.33,459.87,,743.73,,,217.41,277.13,,240.09,,0.0,6371.79,,0.0,1345.72,4919.14,384.27,,2.91,,,,0.0,5306.32,5092.31,35.43,,,,0.0,5127.74,,0.0,178.58,6791.89,,,,,,,,,0.0,6791.89,8259.06,46.13,,118.87,,28.01,0.0,8405.94,,0.0,-1614.05,60.79,,0.0,-28.96,2252.22,0.0,2223.26,455.16,,,,,19.57,19.33,14.43,7.32,7.11,-1.01,35.79,,-342.11,194.7,-46.48,-46.48,,,-4630.15,4903.77,,2.14,0.0,1345.72,,41.62,36.85,2181.64,2215.37,0.0,-28.96,713.41
000001.SZ,平安银行,2022-09-30 00:00:00,三季报,2022三季报,CNY,2098.17,,,145.83,,,,341.01,66.26,274.75,3.05,,3.05,,,181.41,1855.18,,,,,860.11,,0.0,5484.76,2845.93,,152.3,,,,,458.61,458.61,,,,,,,518.36,,,173.77,212.3,,198.31,,0.0,4559.58,,0.0,925.18,3855.44,287.19,,2.24,,,,0.0,4144.87,3984.38,24.35,,,,0.0,4008.73,,0.0,136.14,5187.55,,,,,,,,,0.0,5187.55,6522.11,33.87,,98.41,,20.86,0.0,6641.38,,0.0,-1453.83,57.46,,0.0,-335.05,2252.22,0.0,1917.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
