日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2010-03-31,0.5082,0.51,0.51,0.51,7.1197,7.12,2.7724,2.2796,1.9208,,0.2546,41.8781,0.2613,49.2031,48.8499,51.1501,38.6391,50.818,7.1376,0.2546,48.8499,41.2532,3.0255,85.648,0.0,,1710408000,7.13,7.42,,8.6063,40.6426,29.5083,18.7875,0.654,137.6147,,,4.7471,0.0068,13235.2941,,,0.1918,,,,,,3.5665,0.0,,2703.8557,2803.8557,0.0,,2803.8557,0,,0.0,96.4335,619927625000,2.108,0.0139,5.4556,0.0144,,,,,364313000.0,36229930000.0,,,,,,,,,,,,,
2010-06-30,0.8703,0.98,0.98,0.96,8.7291,8.73,-0.8704,3.8898,2.1291,,0.4858,37.64,0.5004,43.5583,44.7832,55.2168,35.7001,137.3854,15.7387,0.7668,44.7832,42.2603,6.1806,82.5967,0.0,,3197937000,9.97,13.8,2976554000.0,13.4199,31.225,69.1246,15.3674,1.1597,155.2126,,,4.4011,0.014,12857.1429,,,0.3339,,,,,,4.8721,0.0,1421.4468,1952.5162,2052.5162,0.0,54.9471,2052.5162,0,,0.3428,95.1279,624398179000,-0.357,-0.0049,-1.0001,-0.0051,,,,,384390000.0,37496313000.0,,,,,,,,,,,,,
2010-09-30,1.3584,1.46,1.46,1.44,9.2235,9.22,3.0358,3.8961,2.6172,,0.7013,37.7935,0.7497,43.9722,44.9822,55.0178,35.9732,135.8371,14.7272,0.7013,44.8916,41.7209,6.783,82.7005,0.0,,4973482000,14.73,18.83,,18.4065,30.1456,68.3959,21.7945,1.7801,151.6769,,,15.2952,0.0208,12980.7692,,,0.5002,,,,,,4.7616,0.0,,2000.1152,2100.1152,0.0,,2100.1152,0,,0.0,95.2384,675063878000,0.804,0.0157,2.2349,0.0165,,,,,384390000.0,44672478000.0,0.0,,,,,,,,,,,,
2010-12-31,1.8031,1.91,1.91,1.86,9.6163,9.62,6.2399,3.8442,2.5081,,0.8636,36.205,0.9554,42.4133,43.5547,56.4453,34.8669,233.7974,24.3127,1.1198,43.4011,40.8384,4.7136,81.5822,,,6524960000,18.75,23.22,6143737000.0,19.2388,24.9087,63.7202,23.783,1.9473,184.8714,,,8.588,0.0274,13138.6861,,,0.6677,,,,,,4.6059,,1353.3229,2071.1359,,,57.0533,2171.1359,0,,0.3403,95.3941,727610068000,1.2066,0.0299,3.4607,0.0313,,,,,404390000.0,61379837000.0,,,,,,,,,,,,,
2011-03-31,0.6893,,,,10.3156,,6.1252,3.8542,3.1974,,0.2975,44.9507,0.313,58.2482,52.6214,47.3786,41.3101,68.9294,6.682,0.2975,52.6214,35.5607,4.355,85.1684,,,2613902000,6.74,,,42.3771,52.2192,62.5977,30.2674,0.3506,256.7028,,,,0.0076,11842.1053,,,0.1674,,,,,,4.4517,,,2146.3473,,,,2246.3473,0,,,95.5483,807563445000,3.6709,0.0264,8.8863,0.0277,,,,,404390000.0,70412797000.0,,,,,,,,,,,,,
2011-06-30,1.3577,,,,10.9476,,9.0599,3.8177,3.8659,,0.5553,41.9815,0.5991,52.9735,49.832,50.168,38.9746,193.2783,17.6549,0.7905,49.832,36.2991,6.0735,84.0246,,,5096802000,12.51,,,42.8958,56.0026,25.4142,36.4605,0.5775,311.6883,,,5.0148,0.0154,11688.3117,,,0.3388,,,,,,4.4777,,1612.7958,2133.2989,,,54.1374,2233.2989,0,,0.2776,95.5223,852057025000,2.6007,0.0371,6.6728,0.0388,,,,,407413000.0,78345059000.0,,,,,,,,,,,,,
2011-09-30,1.5117,,,,13.9921,,3.4863,7.9101,3.1558,,0.6416,39.2932,0.8006,48.3527,47.4309,52.5691,37.4133,151.1721,10.8041,0.6416,47.4309,38.4417,3.8571,81.9618,,,8134249000,11.03,,,57.3098,63.6074,123.0151,78.8294,0.3337,809.11,,,,0.0214,12616.8224,,,0.3936,,,,,,5.9382,,,1584.0221,,,,1684.0221,0,,,94.0618,1207212499000,0.8628,0.0148,2.3062,0.0157,,,,,417292000.0,108836036000.0,,,,,,,,,,,,,
2011-12-31,2.0281,,,,14.7131,,-2.8183,8.1075,3.0965,,0.8258,35.8477,1.0465,42.9432,44.3028,55.6972,35.052,256.2678,17.4176,1.0435,,39.994,3.0891,80.1536,,,10626357000,14.02,,,64.4801,65.3532,124.9302,72.9191,0.3217,1119.055,,,9.8697,0.0299,12040.1338,,,0.5444,,,,,,5.9913,,2135.0922,1569.0995,,,56.3126,1669.0995,0,,0.2806,94.0087,1258176944000,-0.4871,-0.0115,-1.3897,-0.0122,,,,,539294000.0,107683080000.0,,,,,,,8433000.0,11207000.0,,,,,
2012-03-31,0.6823,0.67,0.67,0.67,15.4113,14.99,14.9956,8.1223,3.7658,,0.2555,,0.2662,97.9103,,,,68.2266,4.4271,0.2555,45.918,,5.0676,-19.2075,,,-859988000,4.46,4.57,,-100.0,45.5119,119.6308,69.3991,,,,,,,,,,,,,,,,5.7717,,,1632.5858,,,,1732.5858,0,,,94.2283,1368005065000,,0.0562,21.9792,0.0596,,,,,539294000.0,109585082000.0,,,,,,,,,,,,,
2012-06-30,1.3408,1.32,1.32,1.31,15.5802,15.58,28.1124,8.0588,3.6659,,0.4609,,0.4998,96.3144,,,,190.5159,12.2281,0.6548,45.027,,5.5597,-19.5488,,,-1735666000,8.47,8.82,6729261000.0,-100.0,45.1803,109.2204,74.944,,,,,,,,,,,,,,,,5.355,,2453.3062,1767.4193,,,52.9491,1867.4193,0,,0.2183,94.645,1490622851000,,0.0966,20.9664,0.1021,,,,,535796000.0,108223947000.0,,,,,,,,,,,,,
