证券代码,证券简称,报告日期,报告类型,报告日期名称,货币单位,营业收入,利息净收入,利息收入,利息支出,手续费及佣金净收入,手续费及佣金收入,手续费及佣金支出,投资收益,对联营企业投资收益,公允价值变动收益,汇兑收益,其他业务收入,资产处置收益,其他收益,营业收入其他项目,营业收入差额,营业支出,营业税金及附加,业务管理费,资产减值损失,信用减值损失,其他业务成本,营业支出其他项目,营业利润其他项目,营业利润差额,营业利润,非经营性收入,非经营性支出,影响税前利润的其他项目,利润总额差额,利润总额,所得税费用,影响净利润差额,净利润,持续经营净利润,母公司净利润,少数股东权益,扣除母公司净利润,净利润其他项目,基本每股收益,稀释每股收益,其他综合收益,母公司其他综合收益,少数股东其他综合收益,母公司其他综合收益其他项目,母公司其他综合收益差额,不可重分类至损益的其他综合收益,设定收益计划变动,不可重分类至损益的其他综合收益-其他项目,可重分类至损益的其他综合收益,权益法下可重分类的其他综合收益,FVOCI金融资产公允价值变动,现金流量套期有效部分,外币报表折算差额,可重分类至损益的其他综合收益-其他项目,可重分类其他综合收益差额,其他综合收益其他项目,其他综合收益差额,综合收益总额,母公司综合收益总额,少数股东综合收益总额,其他权益工具公允价值变动,债权投资公允价值变动,债权投资减值准备,终止经营收益
000001.SZ,平安银行,2024-12-31 00:00:00,年报,2024年报,CNY,1466.95,934.27,1983.81,1049.54,241.12,278.44,37.32,246.04,,31.04,8.8,3.82,0.08,1.78,,0.0,914.89,14.79,405.82,,489.39,,,,,552.06,0.37,5.05,,0.0,547.38,102.3,,445.08,445.08,445.08,,448.38,,0.0,0.0,-3.74,-3.74,,,,4.03,,,-7.77,,,,0.37,,,,,441.34,,,4.03,6.94,-15.08,7.59
000001.SZ,平安银行,2024-09-30 00:00:00,三季报,2024三季报,CNY,1115.82,725.36,1533.03,807.67,187.11,215.49,28.38,183.72,,14.31,1.11,2.89,-0.01,1.33,,0.0,637.13,11.23,305.76,,320.13,,,,,478.69,0.26,1.51,,0.0,477.44,80.15,,397.29,397.29,397.29,,397.48,,0.0,0.0,-7.86,-7.86,,,,-0.17,,,-7.69,,,,,,,,,389.43,,,-0.17,1.27,-8.96,7.21
000001.SZ,平安银行,2024-06-30 00:00:00,中报,2024中报,CNY,771.32,490.86,1041.29,550.43,129.97,149.32,19.35,122.39,,24.24,0.56,1.92,0.23,1.15,,0.0,450.45,7.83,211.09,,231.51,,,,,320.87,0.2,1.3,,0.0,319.77,60.98,,258.79,258.79,258.79,,258.8,,0.0,0.0,-3.56,-3.56,,,,-0.82,,,-2.74,,,,0.03,,,,,255.23,,,-0.82,3.39,-6.16,7.2
000001.SZ,平安银行,2024-03-31 00:00:00,一季报,2024一季报,CNY,387.7,251.57,533.69,282.12,71.81,82.16,10.35,47.02,,15.72,0.07,0.87,0.03,0.61,,0.0,202.16,3.9,104.3,,93.95,,,,,185.54,0.12,0.41,,0.0,185.25,35.93,,149.32,149.32,149.32,,149.06,,0.0,0.0,3.45,3.45,,,,-0.06,,,3.51,,,,0.03,,,,,152.77,,,-0.06,1.32,2.16,
000001.SZ,平安银行,2023-12-31 00:00:00,年报,2023年报,CNY,1646.99,1179.91,2276.17,1096.26,294.3,350.42,56.12,160.54,,-3.54,6.62,5.38,1.44,2.34,,0.0,1067.71,17.18,459.59,,590.17,,,,,579.28,0.49,2.59,,0.0,577.18,112.63,,464.55,464.55,464.55,,464.31,,0.0,0.0,-3.72,-3.72,,,,-1.81,,,-1.91,,,,0.06,-1.97,,,,460.83,,,-1.81,6.82,-8.79,0.01
000001.SZ,平安银行,2023-09-30 00:00:00,三季报,2023三季报,CNY,1276.34,913.55,1729.55,816.0,229.5,271.48,41.98,112.66,,5.65,7.82,4.42,0.63,2.11,,0.0,785.87,12.85,338.88,,433.26,,,,,490.47,0.31,0.85,,0.0,489.93,93.58,,396.35,396.35,396.35,,395.68,,0.0,0.0,-8.38,-8.38,,,,-1.86,,,-6.52,,,,-0.06,2.17,,,,387.97,,,-1.86,2.17,-8.63,0.01
000001.SZ,平安银行,2023-06-30 00:00:00,中报,2023中报,CNY,886.1,626.34,1164.67,538.33,163.74,192.82,29.08,72.87,,10.15,7.0,3.39,0.67,1.94,,0.0,566.73,8.74,234.38,,323.22,,,,,319.37,0.22,0.26,,0.0,319.33,65.46,,253.87,253.87,253.87,,252.16,,0.0,0.0,-3.75,-3.75,,,,-1.73,,,-2.02,,,,-0.02,-2.0,,,,250.12,,,-1.73,3.8,-5.8,0.01
000001.SZ,平安银行,2023-03-31 00:00:00,一季报,2023一季报,CNY,450.98,321.15,586.92,265.77,88.78,103.66,14.88,33.03,,0.54,3.15,2.53,0.07,1.73,,0.0,267.29,4.58,118.07,,144.49,,,,,183.69,0.11,0.13,,0.0,183.67,37.65,,146.02,146.02,146.02,,144.69,,0.0,0.0,-4.48,-4.48,,,,-0.38,,,-4.1,,,,0.05,-4.15,,,,141.54,,,-0.38,1.52,-5.67,-0.01
000001.SZ,平安银行,2022-12-31 00:00:00,年报,2022年报,CNY,1798.95,1301.3,2288.78,987.48,302.08,377.54,75.46,132.43,,12.4,45.48,1.31,1.8,2.15,,0.0,1224.2,17.27,493.87,,713.41,,,,,574.75,0.64,2.86,,0.0,572.53,117.37,,455.16,455.16,455.16,,454.07,,0.0,0.0,9.9,9.9,,,,-0.08,,,9.98,,,,-0.13,10.11,,,,465.06,,,-0.08,,,1.6
000001.SZ,平安银行,2022-09-30 00:00:00,三季报,2022三季报,CNY,1382.65,973.49,1704.91,731.42,223.96,280.52,56.56,108.18,,32.15,41.21,1.06,1.2,1.4,,0.0,919.7,12.91,365.19,,541.95,,,,,462.95,0.5,2.33,,0.0,461.12,94.53,,366.59,366.59,366.59,,365.97,,0.0,0.0,-2.69,-2.69,,,,-0.54,,,-2.15,,,,-0.17,-9.33,,,,363.9,,,-0.54,,7.35,1.62
000001.SZ,平安银行,2022-06-30 00:00:00,中报,2022中报,CNY,920.22,640.59,1127.89,487.3,160.62,196.02,35.4,77.69,,16.48,21.82,0.69,1.02,1.31,,0.0,640.61,8.67,243.49,,388.94,,,,,279.61,0.29,2.07,,0.0,277.83,56.95,,220.88,220.88,220.88,,220.42,,0.0,0.0,10.16,10.16,,,,-1.57,,,11.73,,,,-0.08,11.81,,,,231.04,,,-1.57,,,0.95
000001.SZ,平安银行,2022-03-31 00:00:00,一季报,2022一季报,CNY,462.07,319.42,563.31,243.89,88.87,107.36,18.49,38.78,,6.9,6.61,0.23,0.78,0.48,,0.0,298.67,4.38,121.06,,173.29,,,,,163.4,0.14,1.7,,0.0,161.84,33.34,,128.5,128.5,128.5,,128.73,,0.0,0.0,-0.94,-0.94,,,,-0.51,,,-0.43,,,,0.01,-0.44,,,,127.56,,,-0.51,,,0.68
000001.SZ,平安银行,2021-12-31 00:00:00,年报,2021年报,CNY,1693.83,1203.36,2135.36,932.0,330.62,401.9,71.28,122.43,,20.8,13.2,1.05,0.12,2.25,,0.0,1233.98,16.44,479.37,,726.19,,,,,459.85,1.58,2.64,,0.0,458.79,95.43,,363.36,363.36,363.36,,362.3,,0.0,0.0,13.23,13.23,,,,0.45,,,12.78,,,-2.09,0.05,14.82,,,,376.59,,,0.45,,,0.95
