SECUCODE,SECURITY_NAME_ABBR,STD_ITEM_CODE,STD_ITEM_NAME,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,2016-12-31 00:00:00,2015-12-31 00:00:00,2014-12-31 00:00:00,2013-12-31 00:00:00,2012-12-31 00:00:00,2011-12-31 00:00:00,2010-12-31 00:00:00,2009-12-31 00:00:00,2007-12-31 00:00:00,2006-12-31 00:00:00,2005-12-31 00:00:00,2004-12-31 00:00:00,2003-12-31 00:00:00,2002-12-31 00:00:00,2001-12-31 00:00:00,2000-12-31 00:00:00
00001.HK,长和,004001001,固定资产,103509973080.0,108588717720.0,100626865500.0,107186542400.0,111181485640.0,106715167180.0,96912101000.0,132733312990.0,130238866980.0,150678921900.0,13768936980.0,7844216710.0,8226073250.0,9106593100.0,8848821070.0,9417614080.0,9888172800.0,10269736740.0,9999363600.0,7855424500.0,18348156900.0,20177877600.0,15740364600.0,16168847000.0
00001.HK,长和,004001003,投资物业,,,,,,,,,307711440.0,279818520.0,26257537950.0,22625340710.0,24046567600.0,20413426000.0,18014188100.0,17110367840.0,14511080860.0,14575752360.0,12181913000.0,11216716500.0,,,,
00001.HK,长和,004001004,无形资产,132525584400.0,133812445200.0,128973002410.0,130001670400.0,133313251080.0,135855786360.0,134042828400.0,86312722960.0,87269290110.0,96211492980.0,,,,,,,,,,,,,,
00001.HK,长和,004001005,商誉,247553643000.0,245708865920.0,239403506160.0,236564384000.0,269087457520.0,276783479080.0,283152792000.0,213436243940.0,227874633480.0,219036743220.0,,,,,,,,,,,,,,
00001.HK,长和,004001007,土地使用权,,,,,,,6748492400.0,6942232550.0,7294729050.0,6044582700.0,,,,,,,,,,,,,,
00001.HK,长和,004001009,递延税项资产,16798365600.0,19097680280.0,16533534430.0,17323308800.0,16770518640.0,18231810340.0,17751812000.0,16881202450.0,14183350560.0,17581651080.0,,,,,,,,,,,,46688400.0,,
00001.HK,长和,004001013,联营公司权益,129511324200.0,130167628360.0,125692914970.0,112649745600.0,114527004640.0,129665050780.0,119414669400.0,121493667130.0,134539671060.0,124303094160.0,171059359670.0,154739498760.0,151911125800.0,154792625900.0,133059073170.0,129907780160.0,136813545420.0,134985451860.0,131370124300.0,132371082800.0,132128683100.0,131342958000.0,129113201600.0,126617609800.0
00001.HK,长和,004001016,合营公司权益,142802776320.0,141675716140.0,132705084470.0,115562854400.0,119062602600.0,128593697900.0,106368051400.0,135529431940.0,95044371030.0,77431816500.0,54237967980.0,51623075570.0,51329237550.0,36743356100.0,33609182210.0,28695723680.0,22111677320.0,24242687100.0,23769814700.0,22613198300.0,24050717600.0,27436862700.0,31189064200.0,29738163400.0
00001.HK,长和,004001018,证券投资,,,,,,,,,,,,,,,,,,,,,7706076700.0,5263056000.0,4628458400.0,1649233000.0
00001.HK,长和,004001019,其他投资,7539817680.0,14305588920.0,14384326810.0,6726395200.0,8911284320.0,6917213160.0,8141650400.0,6530964830.0,5325912540.0,8591433900.0,8054362700.0,,,,,,,,,,,,,
00001.HK,长和,004001023,衍生金融工具-资产,,,,,,,,,,,,,,,,,,,,,,,,
00001.HK,长和,004001026,贷款及垫款,,,,,,,,,,,,843624790.0,231903100.0,145926000.0,303782010.0,390933120.0,895179280.0,252172170.0,419240900.0,1324306500.0,990035300.0,575116200.0,493179000.0,513330400.0
00001.HK,长和,004001027,可供出售投资,,,,,,,,,,,,7338670820.0,9439915700.0,6750698900.0,7898332260.0,6186252480.0,9419982800.0,8714507580.0,7457910700.0,8104330300.0,,,,
00001.HK,长和,004001997,非流动资产其他项目,72038503680.0,73458193200.0,67206954990.0,74445750400.0,83111108360.0,87772107520.0,9390235400.0,4630941400.0,4558422960.0,3550511640.0,1003442640.0,,,,,,,,,,,,,
00001.HK,长和,004001999,非流动资产合计,852279987960.0,866814835740.0,825526189740.0,800460651200.0,855964712800.0,890534312320.0,781922632400.0,724490720190.0,706636959210.0,703710066600.0,274381607920.0,245014427360.0,245184823000.0,227952626000.0,201733378820.0,191708671360.0,193639638480.0,193040307810.0,185198367200.0,183485058900.0,183223669600.0,184842558900.0,181164267800.0,174687183600.0
00001.HK,长和,004002001,存货,23079694920.0,22177922060.0,20798005410.0,19315800000.0,20674886600.0,21361665660.0,20511842000.0,18145934280.0,16863302520.0,16555370580.0,57744495130.0,62728574320.0,64939354800.0,55883172400.0,55888231470.0,55469359520.0,54701446840.0,46071152190.0,28198371800.0,27456224400.0,14803638700.0,21409814700.0,23215473400.0,19132163400.0
00001.HK,长和,004002003,应收帐款,42567280680.0,45845669800.0,50747561970.0,47200865600.0,46971086760.0,49903008020.0,55924341200.0,42939024880.0,43269237720.0,43599746760.0,2231713230.0,1818549990.0,1960635300.0,2274013500.0,2092436870.0,,3807321080.0,6664980780.0,1391921400.0,2397579800.0,2195342000.0,1515250800.0,1530445800.0,939691600.0
00001.HK,长和,004002005,预付款按金及其他应收款,,,,,,,,,,,,,,,,2464463520.0,,,,,,,,
00001.HK,长和,004002008,短期投资,,,,,,,,,,,724182660.0,1069272800.0,191360600.0,178354000.0,219539940.0,1696684960.0,1347450820.0,1228711410.0,1054864200.0,1106248000.0,3899396300.0,954990000.0,837874000.0,2858317000.0
00001.HK,长和,004002010,现金及等价物,112331430120.0,115382649060.0,123347187950.0,125201540800.0,131254599640.0,122835624060.0,118647118200.0,134138477700.0,139785077700.0,101514640380.0,26173917730.0,26100477310.0,17163261950.0,16128065800.0,21398336710.0,,,,,,,,,
00001.HK,长和,004002011,短期存款,,,,,,,,,,,,,,,,10057723040.0,5252155420.0,3799661940.0,8644893000.0,4289902100.0,5522457400.0,2287731600.0,1670445000.0,2576197400.0
00001.HK,长和,004002015,衍生金融工具-资产(流动),,,,,,,,,,,,433212730.0,353530600.0,125658500.0,284210620.0,73079840.0,275295720.0,162756540.0,452530500.0,,,,,
00001.HK,长和,004002018,持作出售的资产(流动),,,5445373920.0,,1052891640.0,133471220.0,102686259000.0,,,,,,,,,,,,,,,,,
00001.HK,长和,004002999,流动资产合计,177978405720.0,183406240920.0,200338129250.0,191718206400.0,199953464640.0,194233768960.0,297769560400.0,195223436860.0,199917617940.0,161669757720.0,86874308750.0,92150087150.0,84608143250.0,74589264200.0,79882755610.0,69761310880.0,65383669880.0,57927262860.0,39742580900.0,35249954300.0,26420834400.0,26167787100.0,27254238200.0,25506369400.0
00001.HK,长和,004009999,总资产,1030258393680.0,1050221076660.0,1025864318990.0,992178857600.0,1055918177440.0,1084768081280.0,1079692192800.0,919714157050.0,906554577150.0,865379824320.0,361255916670.0,337164514510.0,329792966250.0,302541890200.0,281616134430.0,261469982240.0,259023308360.0,250967570670.0,224940948100.0,218735013200.0,209644504000.0,211010346000.0,208418506000.0,200193553000.0
00001.HK,长和,004011001,应付帐款,76532575800.0,78314626180.0,79616261830.0,78951544000.0,87430404840.0,89002909240.0,101877526400.0,75422487480.0,74331991980.0,79462595220.0,9184024540.0,9198104770.0,10776196500.0,7864600700.0,15570317140.0,10634437440.0,6450721820.0,3012000660.0,2513364800.0,2832633100.0,2355197000.0,3352014900.0,1615293800.0,1659839000.0
