SECUCODE,SECURITY_NAME_ABBR,STD_ITEM_CODE,STD_ITEM_NAME,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,2016-12-31 00:00:00,2015-12-31 00:00:00,2014-12-31 00:00:00,2013-12-31 00:00:00,2012-12-31 00:00:00,2011-12-31 00:00:00,2010-12-31 00:00:00,2009-12-31 00:00:00,2007-12-31 00:00:00,2006-12-31 00:00:00,2005-12-31 00:00:00,2004-12-31 00:00:00,2003-12-31 00:00:00,2002-12-31 00:00:00,2001-12-31 00:00:00,2000-12-31 00:00:00
00001.HK,长和,001001,除税前溢利(业务利润),26456962800.0,30097378640.0,46390190910.0,34913155200.0,35095546360.0,48190276660.0,43107287600.0,38801270380.0,41561618130.0,107671485600.0,44119132490.0,29478907620.0,27278615700.0,38988184400.0,23997076930.0,19092328320.0,,,,,,,,
00001.HK,长和,001002,减:利息收入,,,,,,,,,,,,674585340.0,655977650.0,322658600.0,147210890.0,190183680.0,,,,,,,,
00001.HK,长和,001003,加:利息支出,12401527680.0,11080351940.0,8085880040.0,8673100800.0,9131794000.0,12814132900.0,8584131400.0,6916319340.0,6367122180.0,3640991880.0,258749360.0,279897880.0,402181600.0,301580400.0,188906460.0,205151840.0,,,,,,,,
00001.HK,长和,001004,减:投资收益,-10657794360.0,-10320033360.0,-11418670410.0,-9076995200.0,-8619235240.0,-8148910660.0,-12721547800.0,-15906531390.0,-7824278970.0,-10214213760.0,-17254953510.0,386038930.0,381099500.0,239156500.0,199117620.0,259741600.0,,,,,,,,
00001.HK,长和,001005,减:应占附属公司溢利,15427826400.0,14615516160.0,17190087880.0,9901953600.0,-11425263000.0,7997523840.0,11485229600.0,16130555270.0,14860494630.0,13776454320.0,30242120320.0,16841046600.0,15418312750.0,27117104300.0,15738801280.0,8595245760.0,,,,,,,,
00001.HK,长和,001006,加:减值及拨备,1721508360.0,,10754077530.0,12649907200.0,,,,,,,,482745220.0,40542500.0,234292300.0,,,,,,,,,,
00001.HK,长和,001007,减:重估盈余,,,,,,,,,,,,1401061860.0,3624499500.0,3250907000.0,1478065410.0,3396011360.0,,,,,,,,
00001.HK,长和,001008,减:出售资产之溢利,306519240.0,1420952960.0,24595296180.0,21270681600.0,23645875800.0,6380640940.0,2294767800.0,3988962520.0,232572600.0,73417174740.0,1853055630.0,3683487550.0,1626565100.0,,110620900.0,667403840.0,,,,,,,,
00001.HK,长和,001009,加:折旧及摊销,37467578400.0,36324016260.0,35541426760.0,37001305600.0,35061039120.0,34155195620.0,17295311800.0,14298240550.0,14324683140.0,8159977200.0,310025910.0,255524750.0,275689000.0,324280000.0,338670140.0,307287520.0,,,,,,,,
00001.HK,长和,001010,减:汇兑收益,,,,-2873046400.0,,,,,,,,270463120.0,-40542500.0,345358200.0,,,,,,,,,,
