SECUCODE,SECURITY_NAME_ABBR,STD_ITEM_CODE,STD_ITEM_NAME,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,2016-12-31 00:00:00,2015-12-31 00:00:00,2014-12-31 00:00:00,2013-12-31 00:00:00,2012-12-31 00:00:00,2011-12-31 00:00:00,2010-12-31 00:00:00,2009-12-31 00:00:00,2007-12-31 00:00:00,2006-12-31 00:00:00,2005-12-31 00:00:00,2004-12-31 00:00:00,2003-12-31 00:00:00,2002-12-31 00:00:00,2001-12-31 00:00:00,2000-12-31 00:00:00
00001.HK,长和,004001001,营业额,260542280040.0,249731576500.0,234480695190.0,229620507200.0,224209529440.0,267857031380.0,242820429800.0,207736173650.0,232431267420.0,139708192800.0,1232214940.0,13376130990.0,15567509150.0,26729589700.0,20407854190.0,15586256960.0,12432317260.0,11002141170.0,6419691300.0,12922891300.0,9023281900.0,2594389500.0,6002996000.0,6061329000.0
00001.HK,长和,004001999,营运收入,260542280040.0,249731576500.0,234480695190.0,229620507200.0,224209529440.0,267857031380.0,242820429800.0,207736173650.0,232431267420.0,139708192800.0,1232214940.0,13376130990.0,15567509150.0,26729589700.0,20407854190.0,15586256960.0,12432317260.0,11002141170.0,6419691300.0,12922891300.0,9023281900.0,2594389500.0,6002996000.0,6061329000.0
00001.HK,长和,004005001,营运支出,98339891760.0,95822796580.0,90866997480.0,85247881600.0,80417860360.0,94915953020.0,95999976800.0,84701088480.0,91189032930.0,57172620540.0,,,,,,,,,,,,,,
00001.HK,长和,004005002,销售成本,,,,,,,,,,,,6276474090.0,7954438500.0,17154412000.0,12860105090.0,9081270720.0,6106133980.0,4930920360.0,3786692000.0,10824211200.0,6801297400.0,1053672300.0,3104376200.0,2903922800.0
00001.HK,长和,004005003,其他成本,14291575320.0,13763669360.0,12976533290.0,13417633600.0,13770913680.0,15904573900.0,14127848800.0,13830130950.0,17147756700.0,10358311920.0,,,,,,,,,,,,,,
00001.HK,长和,004007999,毛利,147910812960.0,140145110560.0,130637164420.0,130954992000.0,130020755400.0,157036504460.0,132692604200.0,109204954220.0,124094477790.0,72177260340.0,1232214940.0,7099656900.0,7613070650.0,9575177700.0,7547749100.0,6504986240.0,6326183280.0,6071220810.0,2632999300.0,2098680100.0,2221984500.0,1540717200.0,2898619800.0,3157406200.0
00001.HK,长和,004010001,其他收入,485244960.0,1873156740.0,25172348600.0,22488088000.0,26321449360.0,6532923540.0,,,,,422045450.0,3512089410.0,1767653000.0,1270366900.0,1113016440.0,2301574720.0,5136044300.0,1312099020.0,979962600.0,2402898300.0,2306174800.0,1330619400.0,1450900800.0,1178326600.0
00001.HK,长和,004010002,其他收益,,,,,,,,,,,,4537333330.0,4862667450.0,4224557700.0,6967414840.0,2407232320.0,1589036860.0,1680812910.0,3420506400.0,997750600.0,1385410000.0,1705187700.0,622572200.0,290604400.0
00001.HK,长和,004010005,减值及拨备,,,,,,,,,,,,,,,,,,,,,,875407500.0,1590900000.0,
00001.HK,长和,004010006,重估盈余,,,,,,,,,,,,1401061860.0,3624499500.0,3250907000.0,1478065410.0,3396011360.0,1699529700.0,1945041120.0,1847572800.0,721188600.0,-835508800.0,,,
00001.HK,长和,004010007,出售资产之溢利,,,,,,,,,,11404699140.0,,2797406340.0,1238167950.0,,,,,,,,,,,
00001.HK,长和,004010008,折旧与摊销,37467578400.0,36324016260.0,35541426760.0,37001305600.0,35061039120.0,34155195620.0,17295311800.0,14298240550.0,14324683140.0,8057768040.0,84409090.0,255524750.0,275689000.0,324280000.0,338670140.0,307287520.0,,,,,,,,
00001.HK,长和,004010009,薪金福利支出,38514929640.0,35547385720.0,33202845900.0,30628931200.0,29874011800.0,34002017240.0,31962023600.0,28063170520.0,29332771920.0,16904724840.0,780981300.0,1265044070.0,1303035950.0,1218482100.0,1067066220.0,908655360.0,772513500.0,699250320.0,675154700.0,654175500.0,660734000.0,740647800.0,725450400.0,768935000.0
