,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY
0,600519.SH,600519,贵州茅台,10002602,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-26 00:00:00,2024-10-26 00:00:00,CNY,129685318970.82,394283234.48,,,,,,,2181721943.36,,,,2818171.29,2374170205.15,,0.0,134638312525.1,8148825214.67,464241534.03,5154820988.02,,66013822.7,,12669415741.48,56721478607.21,6992130399.54,,0.0,90216926307.65,,0.0,44421386217.45,6200000000.0,68399488.96,75010.5,,,5532536.42,,0.0,6274007035.88,2874366279.39,4000000000.0,,,,5049812.44,,0.0,6879416091.83,,0.0,-605409055.95,,,,,,,,,,38942461843.34,156098570.54,,46854621.47,,,0.0,38989316464.81,,0.0,-38989316464.81,-65439.09,,0.0,4826595257.6,150360188952.47,,0.0,155186784210.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5666963002,111.7302438976,,,,,,,-6.5444841311,,,,87.872194328,4.0600598443,,,19.6673679279,4.0453992389,125.1330706049,145.8790496475,,2.9601759094,,13.7692733449,15.5767964486,40.3414682526,,,44.3275497736,,,-11.160793604,210.0,-47.0113052333,-91.974654156,,,48.4529858446,,,194.0373897524,47.8132701879,-52.9385188811,,,,-16.8241462575,,,-34.1694267867,,,92.7203335152,,,,,,,,,,12.3509940338,-92.6092821141,,-25.9709230611,,,,12.2811452998,,,-12.2811452998,-110.3061175233,,,-30.6671073218,-1.3246926991,,,-2.6066454024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,600519.SH,600519,贵州茅台,10002602,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-09 00:00:00,2024-08-09 00:00:00,CNY,87093638361.68,11489834329.99,,,,,,,1396614266.27,,,,2818171.29,2259241541.83,,0.0,102242146671.06,4959765138.84,705033679.54,7196590763.0,,27315638.38,,10031971465.62,38982312154.27,4017324018.78,-300000000.0,0.0,65620312858.43,,0.0,36621833812.63,2600000000.0,31308120.34,74525.5,,,5232536.42,,0.0,2636615182.26,1530991618.84,4000000000.0,,,,4483784.56,,0.0,5535475403.4,,0.0,-2898860221.14,,,,,,,,,,38786363272.8,,,29276705.27,,,0.0,38815639978.07,,0.0,-38815639978.07,-698994.84,,0.0,-5093365381.42,150360188952.47,,0.0,145266823571.05,43176914345.12,,849272503.83,849272503.83,,108583867.33,8721090.73,,,,-67280.68,230210.62,-35533843.83,5748136.6,-2288120.31,-329010964.98,-328224459.31,-786505.67,,-1331293670.84,-7938626765.57,2056620209.93,,,0.0,36621833812.63,,,,,138266823571.05,147360188952.47,7000000000.0,3000000000.0,,,-5093365381.42,26.0896044471,420.0924901195,,,,,,,-20.7806567276,,,,87.872194328,46.5379398119,,,48.6304654865,-18.3404289133,132.6041729414,169.9011585689,,-37.6467197034,,11.465809383,18.5725908273,40.1613554904,,,70.8759217258,,,20.5173892017,30.0,-75.479229057,-90.7584069721,,,311.0334756608,,,23.7987324179,8.9719055875,233.4667200213,,,,-17.5704089434,,,112.0952155382,,,-503.7509988509,,,,,,,,,,19.1617459766,,,-39.1996701129,,,,19.07553593,,,-19.07553593,-136.4611184369,,,-89.4472744483,-1.3246926991,,,-2.9550201896,15.6566689881,,3.4340911064,3.4340911064,,17.2381965226,32.5809189818,,,,-102.0527851901,-96.4012169254,-44650.5499134725,-8.2033645315,43.9002866591,43.1890456205,34.4082054185,99.000986219,,34.8700315594,-163.8183985945,111.633864712,,,,20.5173892017,,,,,-4.1276159742,-3.2934712965,27.9580706994,,,,-89.4472744483,,,,
2,600519.SH,600519,贵州茅台,10002602,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-27 00:00:00,2024-04-27 00:00:00,CNY,46257239517.26,-3654295366.51,,,,,,,714694678.58,,,,,1228034207.29,,0.0,44545673036.62,1515871851.97,487441031.54,3486184255.71,,18533470.98,,7199768652.65,20727491111.84,2422960246.84,-500000000.0,0.0,35358250621.53,,0.0,9187422415.09,,27478516.34,66025.5,,,5122201.62,,0.0,32666743.46,796091344.46,,,,,3090126.33,,0.0,799181470.79,,0.0,-766514727.33,,,,,,,,,,,,,11756332.28,,,0.0,11756332.28,,0.0,-11756332.28,-671828.05,,0.0,8408479527.43,150360188952.47,,0.0,158768668479.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.342182104,27.1015412878,,,,,,,-16.4007766038,,,,,252.8524971246,,,39.4076329162,-47.9046948939,324.9131198517,266.5290543454,,58.1033349472,,13.2980444229,20.6396441152,8.6579400701,,,32.3845542313,,,75.1721496929,,-78.4786056234,652.3416134913,,,1016.0453242113,,,-98.465015238,-12.107790698,,,,,-29.633026597,,,-58.1508111499,,,-450.8436581735,,,,,,,,,,,,,-49.1507046747,,,,-49.1507046747,,,49.1507046747,-327.7301391882,,,54.5548838605,-1.3246926991,,,0.6016255553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,600519.SH,600519,贵州茅台,10002602,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-03 00:00:00,2024-04-03 00:00:00,CNY,163699909417.62,-810223002.76,,,,,,,3018786023.42,,,,1500047.04,2346196470.63,,0.0,168256168955.95,11029476036.21,-2051930316.19,1570003429.01,,142896151.21,,13845293907.26,66683472509.22,7943709518.14,2500000000.0,0.0,101662921234.86,,0.0,66593247721.09,7549947301.15,140715000.0,24948352.95,,,4605886.63,,0.0,7720216540.73,2619755888.79,14817852800.0,,,,7021867.1,,0.0,17444630555.89,,0.0,-9724414015.16,,,,,,,,,,58754786730.01,2204530367.41,,134315261.93,,,0.0,58889101991.94,,0.0,-58889101991.94,1718255.65,,0.0,-2018550030.36,152378738982.83,,0.0,150360188952.47,77521476277.8,,1651428992.2,1651428992.2,,196656866.73,16886608.86,,,,479736.97,-1632253.14,-3151962.5,12624628.35,-34025967.82,-1134619985.02,-1050934956.22,-83685028.8,,-7610810825.29,-3465130974.53,-591505967.47,,,0.0,66593247721.09,,,,,147360188952.47,152378738982.83,3000000000.0,,,,-2018550030.36,16.3536543567,90.9127413281,,,,,,,-7.0460759381,,,,-95.4806851299,-14.9750808507,,,22.0876543061,31.9653255326,-383.5024566999,-87.9580290646,,80.3642869119,,17.8098134818,7.4788835701,55.0570749026,,,0.5396131561,,,81.459933861,,2293.112244898,6924.756637355,,,-7.3590718291,,,68787.9961367732,-50.6316220918,6956.1203809524,,,,-77.6990341594,,,214.4290919348,,,-75.6315518488,,,,,,,,,,2.413431765,-15.8195481021,,147.2084830532,,,,2.5504310408,,,-2.5504310408,88.5938165293,,,92.3137549198,-14.7009415844,,,-1.3246926991,18.5778097415,,14.3985729757,14.3985729757,,26.0489406083,46.9983362192,,,,324.9796785895,-107.8545483819,,5.0021902771,46.7011782268,7.1982747061,13.2059936036,-609.7997956612,,-40.1620257549,76.9787406374,93.1576837025,,,,81.459933861,,,,,-3.2934712965,-14.7009415844,,,,,92.3137549198,标准无保留意见,,,
4,600519.SH,600519,贵州茅台,10002602,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-21 00:00:00,2024-10-26 00:00:00,CNY,111254177296.75,-3361253507.79,,,,,,,2334503130.26,,,,1500047.04,2281538381.49,,0.0,112510465347.75,7831989952.73,-1847134165.69,-11235675166.82,,64115879.87,,11136061054.97,49076873862.34,4982226911.69,2500000000.0,0.0,62508458329.09,,0.0,50002007018.66,2000000000.0,129083173.8,934670.0,,,3726793.63,,0.0,2133744637.43,1944592847.27,8499520000.0,,,,6071248.1,,0.0,10450184095.37,,0.0,-8316439457.94,,,,,,,,,,34661430615.94,2112089420.14,,63292186.54,,,0.0,34724722802.48,,0.0,-34724722802.48,634953.85,,0.0,6961479712.09,152378738982.83,,0.0,159340218694.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.856416765,74.8690204309,,,,,,,-6.4300701046,,,,,20.1793804901,,,29.2539319425,19.3686613907,-6984.8832203989,-207.4912294141,,-2.3235307893,,17.777775822,1.8356435934,72.571121758,,,-19.4901212026,,,431.6344004701,,,299.4282100153,,,-22.2051807505,,,42366.4319984146,-26.3074155347,84895.2,,,,-77.6682135659,,,290.5184601224,,,-211.366063526,,,,,,,,,,16.2253721477,-18.5940587633,,49.8276585876,,,,16.2729020215,,,-16.2729020215,189.6055117802,,,130.0956665194,-14.7009415844,,,2.4633884757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,600519.SH,600519,贵州茅台,10002602,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-03 00:00:00,2024-08-09 00:00:00,CNY,69072814324.04,-3589535738.78,,,,,,,1762971275.17,,,,1500047.04,1541745123.98,,0.0,68789495031.45,6073709514.8,-2162403201.6,-10295381235.93,,43807861.03,,9000043619.79,32876326545.86,2866213732.54,,0.0,38402316836.49,,0.0,30387178194.96,2000000000.0,127680000.0,806414.0,,,1273019.53,,0.0,2129759433.53,1404941586.17,1199520000.0,,,,5439532.7,,0.0,2609901118.87,,0.0,-480141685.34,,,,,,,,,,32549341195.8,,,48152214.51,,,0.0,32597493410.31,,0.0,-32597493410.31,1917096.54,,0.0,-2688539804.15,152378738982.83,,0.0,149690199178.68,37331971189.28,,821076005.74,821076005.74,,92618165.88,6577938.06,,,,3277531.44,6396901.82,79760.73,6261816.21,-4078666.67,-579132965.77,-500404755.51,-78728210.26,,-2044056987.46,12439401395.84,-17677876276.22,,,0.0,30387178194.96,,,,,144219657178.68,152378738982.83,5470542000.0,,,,-2688539804.15,12.9433450975,28.5833890033,,,,,,,-2.0717129768,,,,,-10.5290421862,,,15.3135525424,33.9972061808,-3644.9232813115,-191.5316938805,,-13.869494547,,22.6857225151,-3.6035348965,22.9170646789,,,-35.6372800473,,,272290.4153594932,,,264.4611365711,,,-67.4570327198,,,51429.6774624486,-16.6659678366,,,,,-77.0209404201,,,52.6626265498,,,71.8467002536,,,,,,,,,,15.0425689927,,,90.8926542019,,,,15.110132544,,,-15.110132544,393.4875813317,,,91.0488817413,-14.7009415844,,,0.7304003205,20.0177921148,,16.2549573347,16.2549573347,,21.6766458471,23.7976619464,,,,1055.0364526122,2217.6318952781,,15.603258641,87.2222222118,35.465941184,44.2387986308,,,-35.2125068511,209.101303819,2.348373932,,,,272290.4153594932,,,,,-2.9508686514,-14.7009415844,,,,,91.0488817413,,,,
6,600519.SH,600519,贵州茅台,10002602,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-26 00:00:00,2024-04-27 00:00:00,CNY,35763459967.03,-5012856829.99,,,,,,,854905882.55,,,,,348030470.89,,0.0,31953539490.48,2909805113.69,114715458.0,-2093439051.47,,11722378.27,,6354715731.7,17181326473.45,2229897092.91,,0.0,26708743196.55,,0.0,5244796293.93,2000000000.0,127680000.0,8776.0,,,458960.0,,0.0,2128147736.0,905758713.75,999520000.0,,,,4391444.14,,0.0,1909670157.89,,0.0,218477578.11,,,,,,,,,,,,,23119951.23,,,0.0,23119951.23,,0.0,-23119951.23,295010.6,,0.0,5440448931.41,152378738982.83,,0.0,157819187914.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5781678959,49.1839389579,,,,,,,0.0603895772,,,,,-62.7970076434,,,36.4769425563,9.5572511103,79.242903125,-174.6024291805,,-35.9288435624,,16.9829275853,-7.1486882762,175.8042408804,,,-11.8209038451,,,176.2761957451,,,-93.6483121996,,,-82.16449062,,,78387.1093208376,-25.9524397723,,,,,-77.6238741587,,,53.6540287251,,,117.6173663421,,,,,,,,,,,,,501.1348547775,,,,501.1348547775,,,-501.1348547775,174.3140761245,,,166.9970684594,-14.7009415844,,,-7.4483692723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,600519.SH,600519,贵州茅台,10002602,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-03-31 00:00:00,2024-04-03 00:00:00,CNY,140691678592.0,-8916033228.67,,,,,,,3247615476.04,,,,33191912.56,2759422171.88,,0.0,137815874923.81,8357859151.03,723778672.0,13037761321.9,,79226410.98,,11752241598.62,62043324506.36,5123087432.89,,0.0,101117279093.78,,0.0,36698595830.03,,5880000.0,355149.0,,,4971762.18,,0.0,11206911.18,5306546416.54,210000000.0,,,,31486829.54,,0.0,5548033246.08,,0.0,-5536826334.9,,,,,,,,,,57370196191.46,2618815078.45,,54332788.37,,,0.0,57424528979.83,,0.0,-57424528979.83,911088.01,,0.0,-26261848396.69,178640587379.52,,0.0,152378738982.83,65376039957.88,,1443574818.5,1443574818.5,,156016278.9,11487619.04,,,,-213235.69,20780992.88,,12023204.77,-63840000.0,-1222628115.4,-1210838167.12,-11789948.28,,-5430009151.41,-15051874095.8,-8644820580.52,,,0.0,36698595830.03,,,,,152378738982.83,178640587379.52,,,,,-26261848396.69,17.9106986686,-218.7037146489,,,,,,,3.2382910026,,,,,67.8953624269,,,4.7066111831,7.8995960383,49.4656135034,2231.9639115003,,-51.5324308381,,16.805624237,39.0803944525,17.2732550889,,,49.598790248,,,-42.6841252417,,583.7209302326,-85.5834095188,,,-50.1999722515,,,-42.1932558064,55.6726852844,-90.2325581395,,,,36.6139736699,,,-0.6055236427,,,0.4605774295,,,,,,,,,,116.6873893415,16.901175071,,-38.3433579836,,,,116.1731039562,,,-116.1731039562,144.9577526769,,,-182.3253822379,21.7390952773,,,-14.7009415844,17.3284604597,,7.3422380469,7.3422380469,,25.7339802975,7.4827249309,,,,,74.3250535487,,-11.1358293867,-9.5853965453,-9.6096027775,-8.6946526529,-708.9084913487,,-19.9928460361,-3084.672314183,-172.7624568881,,,,-42.6841252417,,,,,-14.7009415844,21.7390952773,,,,,-182.3253822379,标准无保留意见,,,
8,600519.SH,600519,贵州茅台,10002602,通用,2022-09-30 00:00:00,三季报,2022三季报,058001001,2022-10-17 00:00:00,2023-10-21 00:00:00,CNY,96027635243.02,-13374940274.59,,,,,,,2494928801.24,,,,,1898444119.27,,0.0,87046067888.94,6561177667.14,26828838.0,10452643651.08,,65641070.35,,9455146335.76,48192236166.62,2887057151.24,,0.0,77640730880.19,,0.0,9405337008.75,,,234002.0,,,4790542.18,,0.0,5024544.18,2638790403.92,10000000.0,,,,27186576.04,,0.0,2675976979.96,,0.0,-2670952435.78,,,,,,,,,,29822602393.46,2594515078.45,,42243326.19,,,0.0,29864845719.65,,0.0,-29864845719.65,-708610.26,,0.0,-23131169756.94,178640587379.52,,0.0,155509417622.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8955318729,-278.495865342,,,,,,,21.5452651575,,,,,29.9069429792,,,-3.7499855999,3.0367824826,-94.5717452847,30113.3693088202,,52.0835892076,,18.1894427576,31.8316296609,15.9977036126,,,44.6223269771,,,-74.4088460167,,,3280.3935957979,,,-20.611921994,,,-16.8294889393,17.204733964,-99.5,,,,31.2930792787,,,-37.362193377,,,37.3912698815,,,,,,,,,,12.6400515425,15.8164484029,,-19.1854410093,,,,12.5773418967,,,-12.5773418967,39.2537891251,,,-488.319483612,21.7390952773,,,1.8416544461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,600519.SH,600519,贵州茅台,10002602,通用,2022-06-30 00:00:00,中报,2022中报,058001001,2022-08-03 00:00:00,2023-08-03 00:00:00,CNY,61157046716.15,-5026191650.21,,,,,,,1800267653.77,,,,,1723179411.12,,0.0,59654302130.83,4532713545.24,61000000.0,11247886714.93,,50862189.65,,7335852481.68,34105323790.19,2331827350.44,,0.0,59665466072.13,,0.0,-11163941.3,,,221262.0,,,3911811.48,,0.0,4133073.48,1685915765.38,,,,,23671694.14,,0.0,1709587459.52,,0.0,-1705454386.04,,,,,,,,,,28293301758.48,2376205078.45,,25224760.33,,,0.0,28318526518.81,,0.0,-28318526518.81,-653212.15,,0.0,-30035798058.3,178640587379.52,,0.0,148604789321.22,31105364072.66,,706271822.35,706271822.35,,76118276.63,5313459.04,,,,-343183.91,276010.26,,5416643.34,-31920000.0,-897406697.17,-897406697.17,,,-1511736624.86,-11401698201.95,-18103002467.06,,,0.0,-11163941.3,,,,,148604789321.22,178640587379.52,,,,,-30035798058.3,21.6573154695,-153.8216992602,,,,,,,32.8492411131,,,,,41.6661999678,,,-4.0619341337,5.9731840527,112.0611585046,275.8418135185,,149.26411296,,18.5985292142,30.2969370311,68.3117964349,,,47.4658080762,,,-100.0514006139,,,,,,5496.2968240343,,,5812.8375965665,-9.0488374008,,,,,31.415338219,,,-55.8435810771,,,55.9495376871,,,,,,,,,,7.3336187063,11.8569575921,,-47.4218133446,,,,7.2341443601,,,-7.2341443601,10.7924099191,,,-250.8453800777,21.7390952773,,,7.5447078681,18.6924841136,,9.5620826935,9.5620826935,,26.1441058877,1.0905470111,,,,,751.7097592127,,-57.7986444132,-14.6496815424,-698.0994241371,-702.102566146,,,15.362140092,-365.6345496866,-1990.3604855384,,,,-100.0514006139,,,,,7.5447078681,21.7390952773,,,,,-250.8453800777,,,,
