指标名称,2024中报,2024三季报,2024一季报,2023年报,2023中报,2023三季报,2023一季报,2022年报,2022中报,2022三季报,2022一季报,2021年报,2021中报,2021三季报,2021一季报,2020年报,2020中报,2020三季报,2020一季报,2019年报,2019中报,2019三季报,2019一季报,2018年报,2018中报,2018三季报,2018一季报,2017年报,2017中报,2017三季报,2017一季报,2016年报,2016中报,2016三季报,2016一季报,2015年报,2015中报,2015三季报,2015一季报,2014年报,2014中报,2014三季报,2014一季报,2013年报,2013中报,2013三季报,2013一季报,2012年报,2012中报,2012三季报,2012一季报,2011年报,2011中报,2011三季报,2011一季报,2010年报,2010中报,2010三季报,2010一季报,2009年报,2009中报,2009三季报,2009一季报,2008年报,2008中报,2008三季报,2008一季报,2007年报,2007中报,2007三季报,2007一季报,2006年报,2006中报,2006三季报,2006一季报,2005年报,2005中报,2005三季报,2005一季报,2004年报,2004中报,2004三季报,2004一季报,2003年报,2003中报,2003三季报,2003一季报,2002年报,2002中报,2001年报,2001中报,2000年报
Unnamed: 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SALES_SERVICES,870.94,1296.85,462.57,1637.0,690.73,1112.54,357.63,1406.92,611.57,960.28,314.88,1193.21,502.7,794.3,223.01,1070.24,464.46,713.49,218.66,949.8,433.29,661.68,227.58,842.69,346.11,576.19,193.66,644.21,281.52,489.01,173.91,610.13,257.5,463.86,154.91,370.83,169.85,244.77,102.55,333.85,140.59,220.44,72.38,332.34,119.6,222.8,61.61,289.12,125.36,198.27,57.66,236.59,115.46,180.24,65.44,149.39,63.6,107.39,30.74,117.56,41.99,74.6,18.71,112.75,45.69,74.06,25.6,74.38,33.83,52.98,19.62,61.62,27.42,44.61,16.16,49.77,20.76,33.19,12.61,36.46,14.6,24.71,8.25,30.58,11.53,20.81,6.27,22.89,10.2,18.0,,13.23
DEPOSIT_INTERBANK_ADD,114.9,3.94,-36.54,-8.1,-35.9,-33.61,-50.13,-89.16,-50.26,-133.75,-98.65,75.11,93.39,74.93,9.19,31.89,-14.06,-6.64,-30.13,-4.37,120.93,-7.77,-2.08,10.1,25.33,82.3,-18.1,-3.16,-19.9,11.2,-2.33,48.11,17.12,65.13,9.91,20.11,-9.07,24.1,-11.22,11.83,13.77,13.05,-3.02,27.73,32.22,32.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOAN_PBC_ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFI_BF_ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVE_ORIGIC_PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVE_REINSURE_NET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSURED_INVEST_ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISPOSAL_TFA_ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVE_INTEREST_COMMISSION,13.97,21.82,7.15,30.19,17.63,23.35,8.55,32.48,18.0,24.95,8.54,31.46,13.55,20.53,6.15,30.76,14.61,22.19,7.15,36.68,16.42,28.38,7.96,34.45,17.11,25.83,3.39,27.22,12.58,19.02,5.17,12.66,5.73,8.76,2.21,7.66,3.75,5.27,1.99,6.2,2.82,4.47,0.93,1.21,0.08,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORROW_FUND_ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOAN_ADVANCE_REDUCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPO_BUSINESS_ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVE_TAX_REFUND,0.03,0.03,,0.02,0.02,0.02,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.03,0.03,,,0.0,0.0,,0.51,0.01,0.01,0.0,1.23,0.0,,,0.81,,0.01,,0.07,,0.02,,0.05
