,日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
0,2020-03-31,11.0356,10.42,10.42,,123.9732,118.6947,1.8334,1.0945,102.6798,,7.6327,81.6426,7.603,275.9994,76.0513,8.3278,56.8024,1103.5566,8.9016,7.6327,,9.0801,-0.4281,107.8116,,,19925208230.81,8.78,9.18,13155216731.0,12.7582,16.3409,20.424,13.5948,,,1119.403,0.0804,,0.1339,672.1434,0.154,584.4156,0.164,6.1169,5.138,76.2377,-359806.3053,,85.7454,,,16.6244,,,,15.2181,16.5781,,,14.2546,181624733882.27,0.0944,0.0127,0.1661,0.089,8.9206,,,,,,,,,,,,,,,,,,
1,2020-06-30,19.0476,17.99,17.99,18.05,113.4518,109.2396,10.047,1.0945,90.3867,,13.8954,78.7139,13.4712,238.3084,72.9895,8.5372,54.4392,2570.0858,22.6536,18.749,,9.2442,-0.3203,108.1882,,,34596958336.09,16.47,15.34,22672726309.64,11.3073,12.8843,19.1554,4.2855,,,1237.1134,0.1455,2.9283,0.2475,727.2727,0.2893,622.1915,0.3091,4.8922,4.004,85.972,-43799.3455,,82.764,,958.1691,20.8254,,,64.0242,19.1995,20.7732,,8.6377,17.236,172197875165.58,0.2871,0.0733,0.5275,0.4252,42.6305,,,,,,,,,,3243804.43,,351746137.8,15500922.63,,,2610326.47,713070.22,9610600.0
2,2020-09-30,28.539,26.93,26.93,,122.7288,118.1759,19.9897,1.0945,99.3228,,19.4229,77.3187,19.5041,223.5721,71.3916,8.675,53.3374,2853.9035,23.2537,19.4229,,9.1796,-0.2236,108.5445,0.0035,,51969689932.25,22.79,23.2,33902100761.01,10.3066,10.6082,17.8484,13.552,,,1210.2196,0.2231,,0.3657,738.3101,0.4247,635.7429,0.4541,5.1796,4.2922,89.0467,-30729.069,,83.526,,,19.7232,,,,17.5713,19.722,,,16.474,184579196650.8,0.3736,0.136,0.7004,0.8258,82.5864,,,,,,,,,,,,,,,,,,
3,2020-12-31,39.4232,37.17,37.17,37.43,133.5145,128.4214,41.1313,1.0945,109.5324,,23.2073,76.7788,24.9841,212.5546,70.2047,8.5908,52.1763,4655.5902,34.8695,27.4061,,9.5906,-0.6614,110.088,,,72874862149.66,28.95,31.41,47016420742.73,11.1037,12.6298,18.2161,16.5827,,,1195.6161,0.3011,6.0511,0.4788,751.8797,0.5508,653.5948,0.6132,4.0648,3.4327,79.0195,-28115.6676,,78.5961,,1033.6443,27.2329,,,64.4247,16.5416,27.232,,7.6038,21.4039,213395810527.46,0.5444,0.2421,1.0433,1.1312,113.1266,,,,,20143397.78,,,,,3243804.43,,609099761.73,122235839.95,,,2543955.42,1317947.47,5148551.22
4,2021-03-31,11.7593,11.11,11.11,,145.2715,139.5276,-1.1821,1.0945,120.6409,,6.8637,77.6405,6.8929,237.0283,72.2898,8.3237,54.1678,1175.9319,8.0947,6.8637,,8.1091,-0.0974,107.5063,,,21173238666.19,7.96,8.29,13969463370.71,11.7412,6.5584,17.1798,18.4961,,,1159.7938,0.0776,,0.1273,706.9914,0.1468,613.079,0.1557,5.7487,4.8327,156.9597,-14371.828,,84.7929,,,17.9344,,,,16.0933,17.7154,,,15.2071,215218185984.61,-0.0544,-0.0069,-0.1005,-0.0454,-4.5931,,,,,20358397.79,,,,,,,,,,,,,
5,2021-06-30,20.8619,19.63,19.63,19.62,133.3899,128.7518,17.2898,1.0945,106.5797,,12.3112,77.2091,12.296,224.698,71.4478,8.6216,53.3879,2850.675,21.371,16.8226,,8.9875,0.0202,108.1277,,,37899836912.62,15.24,14.2,24649117714.43,11.6818,9.5252,17.5741,23.6186,,,1265.8228,0.1422,2.9524,0.2303,781.5892,0.2671,673.9049,0.2928,4.0522,3.3691,120.7688,-9473.441,,78.7172,,984.1782,27.0371,,,63.9365,18.5111,26.7821,,7.9983,21.2828,212868536822.67,0.4425,0.102,0.8288,0.4794,48.3975,,,,,20575786.69,,,,,3243804.43,,397267385.95,172245850.68,,,2001865.91,2196001.9,5769985.22
6,2021-09-30,31.5038,29.67,29.67,,143.9383,138.7906,29.2568,1.0945,116.6196,,17.6122,76.9823,18.0667,221.1058,71.0362,8.8086,53.0196,3150.3766,21.887,17.6122,,9.0089,-0.2328,108.7127,,,57461305048.87,21.37,21.68,37357031229.83,11.05,10.3883,17.2816,21.7376,,,1216.7643,0.2219,,0.3408,792.2535,0.3947,684.0638,0.4283,4.4324,3.7329,116.6975,-8516.7336,,80.4687,,,24.272,,,,17.7668,24.0286,,,19.5313,224702253941.13,0.4924,0.1636,0.9287,0.8374,84.5904,,,,,20795564.48,,,,,,,,,,,,,
7,2021-12-31,44.3565,41.76,41.76,41.86,156.7886,150.8834,50.9702,1.0945,127.9391,,21.8368,77.128,23.7835,215.7671,70.3934,8.4597,52.4724,5246.4582,33.462,25.8284,,9.6554,-0.2208,109.8946,,,81902307963.77,27.68,29.9,52581102656.24,11.8788,12.5137,17.4319,19.5751,,,1247.4012,0.2886,6.3022,0.4533,794.176,0.5226,688.8634,0.5824,3.8119,3.2353,89.4603,-7874.9776,,77.1873,,1127.1951,29.5549,,,63.1747,17.467,29.4044,,6.8477,22.8127,255168195159.9,0.603,0.2509,1.1491,1.0999,110.5578,,,,,170468623.71,,,,,3097678.25,,1575835.77,1343437.85,,,1695588.73,1499488.43,6106468.69
8,2022-03-31,14.2908,13.73,13.73,,171.0784,164.6102,-5.4737,1.0945,141.667,,7.1436,78.9383,7.0891,262.9426,74.3963,7.6323,55.5866,1429.0836,8.3534,7.1436,,7.2135,0.0009,106.1746,,,25493720473.86,8.34,8.7,17243064446.83,18.4258,21.5278,17.7646,16.7661,,,1226.158,0.0734,,0.1275,705.8824,0.148,608.1081,0.1568,5.9767,5.0412,156.1376,-7080.7023,,85.518,,,16.9345,,,,16.5208,16.8009,,,14.482,251301891385.48,-0.2129,-0.0274,-0.383,-0.1889,-19.0438,,,,,171918486.74,,,,,,,,,,,,,
9,2022-06-30,24.7615,23.72,23.72,23.69,157.9818,152.9242,-0.0089,1.0945,125.3397,,12.9687,76.9883,12.5674,234.8432,72.2615,7.8909,53.9866,3342.4448,21.1571,17.5059,,7.7622,0.089,106.5282,0.0421,,44358238297.13,15.51,14.57,29762821731.41,17.3764,18.6925,18.4361,12.6748,,,1352.3666,0.1331,3.2953,0.2328,773.1959,0.2716,662.7393,0.2914,4.948,4.0993,141.1275,-6135.4649,,82.7422,,1134.3246,20.8573,,,61.652,18.3065,20.7259,,7.2944,17.2578,239849179963.43,-0.0002,0.0,-0.0004,-0.0003,-0.0271,,,,,173384459.35,,,,,2734174.01,,198608830.54,1330188.68,,,286549.0,900265.9,7591236.12
