,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
0,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004001002,物业厂房及设备,53232000000.0,2023-12-31 00:00:00
1,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004001003,投资物业,570000000.0,2023-12-31 00:00:00
2,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004001004,无形资产,177727000000.0,2023-12-31 00:00:00
3,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004001007,土地使用权,17179000000.0,2023-12-31 00:00:00
4,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004001008,在建工程,13583000000.0,2023-12-31 00:00:00
5,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004001009,递延税项资产,29017000000.0,2023-12-31 00:00:00
6,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004001010,预付款项,28439000000.0,2023-12-31 00:00:00
7,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004001013,联营公司权益,253696000000.0,2023-12-31 00:00:00
8,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004001016,合营公司权益,7969000000.0,2023-12-31 00:00:00
9,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004001022,指定以公允价值记账之金融资产,425096000000.0,2023-12-31 00:00:00
10,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004001030,中长期存款,29301000000.0,2023-12-31 00:00:00
11,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004001031,其他金融资产(非流动),2527000000.0,2023-12-31 00:00:00
12,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,20464000000.0,2023-12-31 00:00:00
13,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004001999,非流动资产合计,1058800000000.0,2023-12-31 00:00:00
14,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004002001,存货,456000000.0,2023-12-31 00:00:00
15,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004002003,应收帐款,46606000000.0,2023-12-31 00:00:00
16,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004002005,预付款按金及其他应收款,88411000000.0,2023-12-31 00:00:00
17,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,3818000000.0,2023-12-31 00:00:00
18,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004002010,现金及等价物,172320000000.0,2023-12-31 00:00:00
19,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004002011,短期存款,185983000000.0,2023-12-31 00:00:00
20,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004002013,指定以公允价值记账之金融资产(流动),14903000000.0,2023-12-31 00:00:00
21,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004002022,其他金融资产(流动),5949000000.0,2023-12-31 00:00:00
22,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004002999,流动资产合计,518446000000.0,2023-12-31 00:00:00
23,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004009999,总资产,1577246000000.0,2023-12-31 00:00:00
24,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004011001,应付帐款,100948000000.0,2023-12-31 00:00:00
25,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004011002,应付票据,14161000000.0,2023-12-31 00:00:00
26,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004011003,应付税项,22036000000.0,2023-12-31 00:00:00
27,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),6154000000.0,2023-12-31 00:00:00
28,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004011007,递延收入(流动),86168000000.0,2023-12-31 00:00:00
29,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004011008,其他应付款及应计费用,76595000000.0,2023-12-31 00:00:00
30,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004011010,短期贷款,41537000000.0,2023-12-31 00:00:00
31,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004011023,其他金融负债(流动),4558000000.0,2023-12-31 00:00:00
32,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004011999,流动负债合计,352157000000.0,2023-12-31 00:00:00
33,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004013999,净流动资产,166289000000.0,2023-12-31 00:00:00
34,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004015999,总资产减流动负债,1225089000000.0,2023-12-31 00:00:00
35,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004020001,长期贷款,155819000000.0,2023-12-31 00:00:00
36,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004020003,递延税项负债,17635000000.0,2023-12-31 00:00:00
37,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004020005,融资租赁负债(非流动),16468000000.0,2023-12-31 00:00:00
38,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004020006,递延收入(非流动),3435000000.0,2023-12-31 00:00:00
39,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004020009,长期应付款,12169000000.0,2023-12-31 00:00:00
40,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004020018,应付票据(非流动),137101000000.0,2023-12-31 00:00:00
41,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004020019,其他金融负债(非流动),8781000000.0,2023-12-31 00:00:00
42,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004020999,非流动负债合计,351408000000.0,2023-12-31 00:00:00
43,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004025999,总负债,703565000000.0,2023-12-31 00:00:00
44,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004027999,少数股东权益,65090000000.0,2023-12-31 00:00:00
45,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004028999,净资产,873681000000.0,2023-12-31 00:00:00
46,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004030003,股本溢价,37989000000.0,2023-12-31 00:00:00
47,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004030004,保留溢利(累计亏损),813911000000.0,2023-12-31 00:00:00
48,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004030009,其他储备,-38569000000.0,2023-12-31 00:00:00
49,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004030012,库存股,-4740000000.0,2023-12-31 00:00:00
50,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004030999,股东权益,808591000000.0,2023-12-31 00:00:00
51,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004036999,总权益,873681000000.0,2023-12-31 00:00:00
52,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004037999,总权益及非流动负债,1225089000000.0,2023-12-31 00:00:00
53,00700.HK,00700,腾讯控股,10009066,2023-12-31 00:00:00,001,12-31,004039999,总权益及总负债,1577246000000.0,2023-12-31 00:00:00
54,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004001002,物业厂房及设备,53978000000.0,2022-12-31 00:00:00
55,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004001003,投资物业,559000000.0,2022-12-31 00:00:00
56,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004001004,无形资产,161802000000.0,2022-12-31 00:00:00
57,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004001007,土地使用权,18046000000.0,2022-12-31 00:00:00
58,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004001008,在建工程,9229000000.0,2022-12-31 00:00:00
59,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004001009,递延税项资产,29882000000.0,2022-12-31 00:00:00
60,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004001010,预付款项,36752000000.0,2022-12-31 00:00:00
61,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004001013,联营公司权益,246043000000.0,2022-12-31 00:00:00
62,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004001016,合营公司权益,6672000000.0,2022-12-31 00:00:00
63,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004001022,指定以公允价值记账之金融资产,391332000000.0,2022-12-31 00:00:00
64,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004001030,中长期存款,28336000000.0,2022-12-31 00:00:00
65,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004001031,其他金融资产(非流动),6987000000.0,2022-12-31 00:00:00
66,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,22524000000.0,2022-12-31 00:00:00
67,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004001999,非流动资产合计,1012142000000.0,2022-12-31 00:00:00
68,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004002001,存货,2333000000.0,2022-12-31 00:00:00
69,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004002003,应收帐款,45467000000.0,2022-12-31 00:00:00
70,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004002005,预付款按金及其他应收款,76685000000.0,2022-12-31 00:00:00
71,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,2783000000.0,2022-12-31 00:00:00
72,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004002010,现金及等价物,156739000000.0,2022-12-31 00:00:00
73,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004002011,短期存款,104776000000.0,2022-12-31 00:00:00
74,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004002013,指定以公允价值记账之金融资产(流动),27963000000.0,2022-12-31 00:00:00
75,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004002018,持作出售的资产(流动),147965000000.0,2022-12-31 00:00:00
76,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004002022,其他金融资产(流动),1278000000.0,2022-12-31 00:00:00
77,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004002999,流动资产合计,565989000000.0,2022-12-31 00:00:00
78,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004009999,总资产,1578131000000.0,2022-12-31 00:00:00
79,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004011001,应付帐款,92381000000.0,2022-12-31 00:00:00
80,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004011002,应付票据,10446000000.0,2022-12-31 00:00:00
81,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004011003,应付税项,18186000000.0,2022-12-31 00:00:00
82,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004011004,应付股利,147965000000.0,2022-12-31 00:00:00
83,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),6354000000.0,2022-12-31 00:00:00
84,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004011007,递延收入(流动),82216000000.0,2022-12-31 00:00:00
85,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004011008,其他应付款及应计费用,61139000000.0,2022-12-31 00:00:00
86,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004011010,短期贷款,11580000000.0,2022-12-31 00:00:00
87,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004011023,其他金融负债(流动),3937000000.0,2022-12-31 00:00:00
88,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004011999,流动负债合计,434204000000.0,2022-12-31 00:00:00
89,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004013999,净流动资产,131785000000.0,2022-12-31 00:00:00
90,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004015999,总资产减流动负债,1143927000000.0,2022-12-31 00:00:00
91,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004020001,长期贷款,163668000000.0,2022-12-31 00:00:00
92,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004020003,递延税项负债,12162000000.0,2022-12-31 00:00:00
93,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004020005,融资租赁负债(非流动),18424000000.0,2022-12-31 00:00:00
94,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004020006,递延收入(非流动),3503000000.0,2022-12-31 00:00:00
95,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004020009,长期应付款,9067000000.0,2022-12-31 00:00:00
96,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004020018,应付票据(非流动),148669000000.0,2022-12-31 00:00:00
97,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004020019,其他金融负债(非流动),5574000000.0,2022-12-31 00:00:00
98,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004020999,非流动负债合计,361067000000.0,2022-12-31 00:00:00
99,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004025999,总负债,795271000000.0,2022-12-31 00:00:00
100,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004027999,少数股东权益,61469000000.0,2022-12-31 00:00:00
101,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004028999,净资产,782860000000.0,2022-12-31 00:00:00
102,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004030003,股本溢价,62418000000.0,2022-12-31 00:00:00
103,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004030004,保留溢利(累计亏损),705981000000.0,2022-12-31 00:00:00
104,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004030009,其他储备,-45140000000.0,2022-12-31 00:00:00
105,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004030012,库存股,-1868000000.0,2022-12-31 00:00:00
106,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004030999,股东权益,721391000000.0,2022-12-31 00:00:00
107,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004036999,总权益,782860000000.0,2022-12-31 00:00:00
108,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004037999,总权益及非流动负债,1143927000000.0,2022-12-31 00:00:00
109,00700.HK,00700,腾讯控股,10009066,2022-12-31 00:00:00,001,12-31,004039999,总权益及总负债,1578131000000.0,2022-12-31 00:00:00
110,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004001002,物业厂房及设备,61914000000.0,2021-12-31 00:00:00
111,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004001003,投资物业,517000000.0,2021-12-31 00:00:00
112,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004001004,无形资产,171376000000.0,2021-12-31 00:00:00
113,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004001007,土地使用权,17728000000.0,2021-12-31 00:00:00
114,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004001008,在建工程,5923000000.0,2021-12-31 00:00:00
115,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004001009,递延税项资产,26068000000.0,2021-12-31 00:00:00
116,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004001010,预付款项,37177000000.0,2021-12-31 00:00:00
117,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004001013,联营公司权益,316574000000.0,2021-12-31 00:00:00
118,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004001016,合营公司权益,6614000000.0,2021-12-31 00:00:00
119,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004001022,指定以公允价值记账之金融资产,442441000000.0,2021-12-31 00:00:00
120,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004001030,中长期存款,19491000000.0,2021-12-31 00:00:00
121,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004001031,其他金融资产(非流动),1261000000.0,2021-12-31 00:00:00
122,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,20468000000.0,2021-12-31 00:00:00
123,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004001999,非流动资产合计,1127552000000.0,2021-12-31 00:00:00
124,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004002001,存货,1063000000.0,2021-12-31 00:00:00
125,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004002003,应收帐款,49331000000.0,2021-12-31 00:00:00
126,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004002005,预付款按金及其他应收款,65390000000.0,2021-12-31 00:00:00
127,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,2476000000.0,2021-12-31 00:00:00
128,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004002010,现金及等价物,167966000000.0,2021-12-31 00:00:00
129,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004002011,短期存款,83813000000.0,2021-12-31 00:00:00
130,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004002013,指定以公允价值记账之金融资产(流动),10573000000.0,2021-12-31 00:00:00
131,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004002018,持作出售的资产(流动),102451000000.0,2021-12-31 00:00:00
132,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004002022,其他金融资产(流动),1749000000.0,2021-12-31 00:00:00
133,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004002999,流动资产合计,484812000000.0,2021-12-31 00:00:00
134,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004009999,总资产,1612364000000.0,2021-12-31 00:00:00
135,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004011001,应付帐款,109470000000.0,2021-12-31 00:00:00
136,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004011002,应付票据,,2021-12-31 00:00:00
137,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004011003,应付税项,14746000000.0,2021-12-31 00:00:00
138,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004011004,应付股利,102451000000.0,2021-12-31 00:00:00
139,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),5446000000.0,2021-12-31 00:00:00
140,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004011007,递延收入(流动),87846000000.0,2021-12-31 00:00:00
141,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004011008,其他应付款及应计费用,60582000000.0,2021-12-31 00:00:00
142,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004011010,短期贷款,19003000000.0,2021-12-31 00:00:00
143,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004011023,其他金融负债(流动),3554000000.0,2021-12-31 00:00:00
144,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004011999,流动负债合计,403098000000.0,2021-12-31 00:00:00
145,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004013999,净流动资产,81714000000.0,2021-12-31 00:00:00
146,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004015999,总资产减流动负债,1209266000000.0,2021-12-31 00:00:00
147,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004020001,长期贷款,136936000000.0,2021-12-31 00:00:00
148,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004020003,递延税项负债,13142000000.0,2021-12-31 00:00:00
149,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004020005,融资租赁负债(非流动),16501000000.0,2021-12-31 00:00:00
150,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004020006,递延收入(非流动),4526000000.0,2021-12-31 00:00:00
151,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004020009,长期应付款,9966000000.0,2021-12-31 00:00:00
152,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004020018,应付票据(非流动),145590000000.0,2021-12-31 00:00:00
153,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004020019,其他金融负债(非流动),5912000000.0,2021-12-31 00:00:00
154,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004020999,非流动负债合计,332573000000.0,2021-12-31 00:00:00
155,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004025999,总负债,735671000000.0,2021-12-31 00:00:00
156,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004027999,少数股东权益,70394000000.0,2021-12-31 00:00:00
157,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004028999,净资产,876693000000.0,2021-12-31 00:00:00
158,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004030001,股本,,2021-12-31 00:00:00
159,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004030003,股本溢价,67330000000.0,2021-12-31 00:00:00
160,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004030004,保留溢利(累计亏损),669911000000.0,2021-12-31 00:00:00
161,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004030009,其他储备,69058000000.0,2021-12-31 00:00:00
162,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004030012,库存股,,2021-12-31 00:00:00
163,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004030999,股东权益,806299000000.0,2021-12-31 00:00:00
164,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004036999,总权益,876693000000.0,2021-12-31 00:00:00
165,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004037999,总权益及非流动负债,1209266000000.0,2021-12-31 00:00:00
166,00700.HK,00700,腾讯控股,10009066,2021-12-31 00:00:00,001,12-31,004039999,总权益及总负债,1612364000000.0,2021-12-31 00:00:00
167,00700.HK,00700,腾讯控股,10009066,2020-12-31 00:00:00,001,12-31,004001002,物业厂房及设备,59843000000.0,2020-12-31 00:00:00
168,00700.HK,00700,腾讯控股,10009066,2020-12-31 00:00:00,001,12-31,004001003,投资物业,583000000.0,2020-12-31 00:00:00
169,00700.HK,00700,腾讯控股,10009066,2020-12-31 00:00:00,001,12-31,004001004,无形资产,159437000000.0,2020-12-31 00:00:00
170,00700.HK,00700,腾讯控股,10009066,2020-12-31 00:00:00,001,12-31,004001007,土地使用权,16091000000.0,2020-12-31 00:00:00
171,00700.HK,00700,腾讯控股,10009066,2020-12-31 00:00:00,001,12-31,004001008,在建工程,4939000000.0,2020-12-31 00:00:00
172,00700.HK,00700,腾讯控股,10009066,2020-12-31 00:00:00,001,12-31,004001009,递延税项资产,21348000000.0,2020-12-31 00:00:00
173,00700.HK,00700,腾讯控股,10009066,2020-12-31 00:00:00,001,12-31,004001010,预付款项,24630000000.0,2020-12-31 00:00:00
174,00700.HK,00700,腾讯控股,10009066,2020-12-31 00:00:00,001,12-31,004001013,联营公司权益,297609000000.0,2020-12-31 00:00:00
175,00700.HK,00700,腾讯控股,10009066,2020-12-31 00:00:00,001,12-31,004001016,合营公司权益,7649000000.0,2020-12-31 00:00:00
176,00700.HK,00700,腾讯控股,10009066,2020-12-31 00:00:00,001,12-31,004001022,指定以公允价值记账之金融资产,379035000000.0,2020-12-31 00:00:00
177,00700.HK,00700,腾讯控股,10009066,2020-12-31 00:00:00,001,12-31,004001030,中长期存款,31681000000.0,2020-12-31 00:00:00
178,00700.HK,00700,腾讯控股,10009066,2020-12-31 00:00:00,001,12-31,004001031,其他金融资产(非流动),4000000.0,2020-12-31 00:00:00
