,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,REPORT_TYPE,REPORT,STD_ITEM_CODE,AMOUNT,ITEM_NAME
0,TSLA.O,TSLA,特斯拉,2024-12-31 00:00:00,年报,2024/FY,004001001,16139000000.0,现金及现金等价物
1,TSLA.O,TSLA,特斯拉,2023-12-31 00:00:00,年报,2023/FY,004001001,16398000000.0,现金及现金等价物
2,TSLA.O,TSLA,特斯拉,2022-12-31 00:00:00,年报,2022/FY,004001001,16253000000.0,现金及现金等价物
3,TSLA.O,TSLA,特斯拉,2021-12-31 00:00:00,年报,2021/FY,004001001,17576000000.0,现金及现金等价物
4,TSLA.O,TSLA,特斯拉,2020-12-31 00:00:00,年报,2020/FY,004001001,19384000000.0,现金及现金等价物
5,TSLA.O,TSLA,特斯拉,2019-12-31 00:00:00,年报,2019/FY,004001001,6268000000.0,现金及现金等价物
6,TSLA.O,TSLA,特斯拉,2018-12-31 00:00:00,年报,2018/FY,004001001,3686000000.0,现金及现金等价物
7,TSLA.O,TSLA,特斯拉,2017-12-31 00:00:00,年报,2017/FY,004001001,3367914000.0,现金及现金等价物
8,TSLA.O,TSLA,特斯拉,2016-12-31 00:00:00,年报,2016/FY,004001001,3393216000.0,现金及现金等价物
9,TSLA.O,TSLA,特斯拉,2015-12-31 00:00:00,年报,2015/FY,004001001,1196908000.0,现金及现金等价物
10,TSLA.O,TSLA,特斯拉,2014-12-31 00:00:00,年报,2014/FY,004001001,1905713000.0,现金及现金等价物
11,TSLA.O,TSLA,特斯拉,2013-12-31 00:00:00,年报,2013/FY,004001001,845889000.0,现金及现金等价物
12,TSLA.O,TSLA,特斯拉,2012-12-31 00:00:00,年报,2012/FY,004001001,201890000.0,现金及现金等价物
13,TSLA.O,TSLA,特斯拉,2011-12-31 00:00:00,年报,2011/FY,004001001,255266000.0,现金及现金等价物
14,TSLA.O,TSLA,特斯拉,2010-12-31 00:00:00,年报,2010/FY,004001001,99558000.0,现金及现金等价物
15,TSLA.O,TSLA,特斯拉,2009-12-31 00:00:00,年报,2009/FY,004001001,69627000.0,现金及现金等价物
16,TSLA.O,TSLA,特斯拉,2008-12-31 00:00:00,年报,2008/FY,004001001,9277000.0,现金及现金等价物
17,TSLA.O,TSLA,特斯拉,2007-12-31 00:00:00,年报,2007/FY,004001001,17211000.0,现金及现金等价物
18,TSLA.O,TSLA,特斯拉,2018-12-31 00:00:00,年报,2018/FY,004001002,193000000.0,限制性现金及其他(流动)
19,TSLA.O,TSLA,特斯拉,2017-12-31 00:00:00,年报,2017/FY,004001002,155323000.0,限制性现金及其他(流动)
20,TSLA.O,TSLA,特斯拉,2016-12-31 00:00:00,年报,2016/FY,004001002,105519000.0,限制性现金及其他(流动)
21,TSLA.O,TSLA,特斯拉,2015-12-31 00:00:00,年报,2015/FY,004001002,22628000.0,限制性现金及其他(流动)
22,TSLA.O,TSLA,特斯拉,2014-12-31 00:00:00,年报,2014/FY,004001002,17947000.0,限制性现金及其他(流动)
23,TSLA.O,TSLA,特斯拉,2013-12-31 00:00:00,年报,2013/FY,004001002,3012000.0,限制性现金及其他(流动)
24,TSLA.O,TSLA,特斯拉,2012-12-31 00:00:00,年报,2012/FY,004001002,19094000.0,限制性现金及其他(流动)
25,TSLA.O,TSLA,特斯拉,2011-12-31 00:00:00,年报,2011/FY,004001002,23476000.0,限制性现金及其他(流动)
26,TSLA.O,TSLA,特斯拉,2024-12-31 00:00:00,年报,2024/FY,004001003,20424000000.0,短期投资
27,TSLA.O,TSLA,特斯拉,2023-12-31 00:00:00,年报,2023/FY,004001003,12696000000.0,短期投资
28,TSLA.O,TSLA,特斯拉,2022-12-31 00:00:00,年报,2022/FY,004001003,5932000000.0,短期投资
29,TSLA.O,TSLA,特斯拉,2021-12-31 00:00:00,年报,2021/FY,004001003,131000000.0,短期投资
30,TSLA.O,TSLA,特斯拉,2010-12-31 00:00:00,年报,2010/FY,004001003,,短期投资
31,TSLA.O,TSLA,特斯拉,2024-12-31 00:00:00,年报,2024/FY,004001004,4418000000.0,应收账款
32,TSLA.O,TSLA,特斯拉,2023-12-31 00:00:00,年报,2023/FY,004001004,3508000000.0,应收账款
33,TSLA.O,TSLA,特斯拉,2022-12-31 00:00:00,年报,2022/FY,004001004,2952000000.0,应收账款
34,TSLA.O,TSLA,特斯拉,2021-12-31 00:00:00,年报,2021/FY,004001004,1913000000.0,应收账款
35,TSLA.O,TSLA,特斯拉,2020-12-31 00:00:00,年报,2020/FY,004001004,1886000000.0,应收账款
36,TSLA.O,TSLA,特斯拉,2019-12-31 00:00:00,年报,2019/FY,004001004,1324000000.0,应收账款
37,TSLA.O,TSLA,特斯拉,2018-12-31 00:00:00,年报,2018/FY,004001004,949000000.0,应收账款
38,TSLA.O,TSLA,特斯拉,2017-12-31 00:00:00,年报,2017/FY,004001004,515381000.0,应收账款
39,TSLA.O,TSLA,特斯拉,2016-12-31 00:00:00,年报,2016/FY,004001004,499142000.0,应收账款
40,TSLA.O,TSLA,特斯拉,2015-12-31 00:00:00,年报,2015/FY,004001004,168965000.0,应收账款
41,TSLA.O,TSLA,特斯拉,2014-12-31 00:00:00,年报,2014/FY,004001004,226604000.0,应收账款
42,TSLA.O,TSLA,特斯拉,2013-12-31 00:00:00,年报,2013/FY,004001004,49109000.0,应收账款
43,TSLA.O,TSLA,特斯拉,2012-12-31 00:00:00,年报,2012/FY,004001004,26842000.0,应收账款
44,TSLA.O,TSLA,特斯拉,2011-12-31 00:00:00,年报,2011/FY,004001004,9539000.0,应收账款
45,TSLA.O,TSLA,特斯拉,2010-12-31 00:00:00,年报,2010/FY,004001004,6710000.0,应收账款
46,TSLA.O,TSLA,特斯拉,2009-12-31 00:00:00,年报,2009/FY,004001004,3488000.0,应收账款
47,TSLA.O,TSLA,特斯拉,2008-12-31 00:00:00,年报,2008/FY,004001004,3320000.0,应收账款
48,TSLA.O,TSLA,特斯拉,2007-12-31 00:00:00,年报,2007/FY,004001004,59000.0,应收账款
49,TSLA.O,TSLA,特斯拉,2024-12-31 00:00:00,年报,2024/FY,004001008,12017000000.0,存货
50,TSLA.O,TSLA,特斯拉,2023-12-31 00:00:00,年报,2023/FY,004001008,13626000000.0,存货
51,TSLA.O,TSLA,特斯拉,2022-12-31 00:00:00,年报,2022/FY,004001008,12839000000.0,存货
52,TSLA.O,TSLA,特斯拉,2021-12-31 00:00:00,年报,2021/FY,004001008,5757000000.0,存货
53,TSLA.O,TSLA,特斯拉,2020-12-31 00:00:00,年报,2020/FY,004001008,4101000000.0,存货
54,TSLA.O,TSLA,特斯拉,2019-12-31 00:00:00,年报,2019/FY,004001008,3552000000.0,存货
55,TSLA.O,TSLA,特斯拉,2018-12-31 00:00:00,年报,2018/FY,004001008,3113000000.0,存货
56,TSLA.O,TSLA,特斯拉,2017-12-31 00:00:00,年报,2017/FY,004001008,2263537000.0,存货
57,TSLA.O,TSLA,特斯拉,2016-12-31 00:00:00,年报,2016/FY,004001008,2067454000.0,存货
