,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,REPORT_TYPE,REPORT,STD_ITEM_CODE,AMOUNT,ITEM_NAME
0,TSLA.O,TSLA,特斯拉,2024-12-31 00:00:00,年报,2024/FY,001001,7153000000,净利润
1,TSLA.O,TSLA,特斯拉,2023-12-31 00:00:00,年报,2023/FY,001001,14974000000,净利润
2,TSLA.O,TSLA,特斯拉,2022-12-31 00:00:00,年报,2022/FY,001001,12587000000,净利润
3,TSLA.O,TSLA,特斯拉,2021-12-31 00:00:00,年报,2021/FY,001001,5644000000,净利润
4,TSLA.O,TSLA,特斯拉,2020-12-31 00:00:00,年报,2020/FY,001001,862000000,净利润
5,TSLA.O,TSLA,特斯拉,2019-12-31 00:00:00,年报,2019/FY,001001,-775000000,净利润
6,TSLA.O,TSLA,特斯拉,2018-12-31 00:00:00,年报,2018/FY,001001,-1063000000,净利润
7,TSLA.O,TSLA,特斯拉,2017-12-31 00:00:00,年报,2017/FY,001001,-2241000000,净利润
8,TSLA.O,TSLA,特斯拉,2016-12-31 00:00:00,年报,2016/FY,001001,-773046000,净利润
9,TSLA.O,TSLA,特斯拉,2015-12-31 00:00:00,年报,2015/FY,001001,-888663000,净利润
10,TSLA.O,TSLA,特斯拉,2014-12-31 00:00:00,年报,2014/FY,001001,-294040000,净利润
11,TSLA.O,TSLA,特斯拉,2013-12-31 00:00:00,年报,2013/FY,001001,-74014000,净利润
12,TSLA.O,TSLA,特斯拉,2012-12-31 00:00:00,年报,2012/FY,001001,-396213000,净利润
13,TSLA.O,TSLA,特斯拉,2011-12-31 00:00:00,年报,2011/FY,001001,-254411000,净利润
14,TSLA.O,TSLA,特斯拉,2009-12-31 00:00:00,年报,2009/FY,001001,-55740000,净利润
15,TSLA.O,TSLA,特斯拉,2008-12-31 00:00:00,年报,2008/FY,001001,-82782000,净利润
16,TSLA.O,TSLA,特斯拉,2007-12-31 00:00:00,年报,2007/FY,001001,-78157000,净利润
17,TSLA.O,TSLA,特斯拉,2006-12-31 00:00:00,年报,2006/FY,001001,-29957000,净利润
18,TSLA.O,TSLA,特斯拉,2024-12-31 00:00:00,年报,2024/FY,001002,5368000000,折旧及摊销
19,TSLA.O,TSLA,特斯拉,2023-12-31 00:00:00,年报,2023/FY,001002,4667000000,折旧及摊销
20,TSLA.O,TSLA,特斯拉,2022-12-31 00:00:00,年报,2022/FY,001002,3747000000,折旧及摊销
21,TSLA.O,TSLA,特斯拉,2021-12-31 00:00:00,年报,2021/FY,001002,2911000000,折旧及摊销
22,TSLA.O,TSLA,特斯拉,2020-12-31 00:00:00,年报,2020/FY,001002,2322000000,折旧及摊销
23,TSLA.O,TSLA,特斯拉,2019-12-31 00:00:00,年报,2019/FY,001002,2154000000,折旧及摊销
24,TSLA.O,TSLA,特斯拉,2018-12-31 00:00:00,年报,2018/FY,001002,2060000000,折旧及摊销
25,TSLA.O,TSLA,特斯拉,2017-12-31 00:00:00,年报,2017/FY,001002,1727000000,折旧及摊销
26,TSLA.O,TSLA,特斯拉,2016-12-31 00:00:00,年报,2016/FY,001002,1041789000,折旧及摊销
27,TSLA.O,TSLA,特斯拉,2015-12-31 00:00:00,年报,2015/FY,001002,500644000,折旧及摊销
28,TSLA.O,TSLA,特斯拉,2014-12-31 00:00:00,年报,2014/FY,001002,301665000,折旧及摊销
29,TSLA.O,TSLA,特斯拉,2013-12-31 00:00:00,年报,2013/FY,001002,120784000,折旧及摊销
30,TSLA.O,TSLA,特斯拉,2012-12-31 00:00:00,年报,2012/FY,001002,28825000,折旧及摊销
31,TSLA.O,TSLA,特斯拉,2011-12-31 00:00:00,年报,2011/FY,001002,16919000,折旧及摊销
32,TSLA.O,TSLA,特斯拉,2009-12-31 00:00:00,年报,2009/FY,001002,6940000,折旧及摊销
33,TSLA.O,TSLA,特斯拉,2008-12-31 00:00:00,年报,2008/FY,001002,4157000,折旧及摊销
34,TSLA.O,TSLA,特斯拉,2007-12-31 00:00:00,年报,2007/FY,001002,2895000,折旧及摊销
35,TSLA.O,TSLA,特斯拉,2006-12-31 00:00:00,年报,2006/FY,001002,615000,折旧及摊销
36,TSLA.O,TSLA,特斯拉,2024-12-31 00:00:00,年报,2024/FY,001003,1999000000,基于股票的补偿费
37,TSLA.O,TSLA,特斯拉,2023-12-31 00:00:00,年报,2023/FY,001003,1812000000,基于股票的补偿费
38,TSLA.O,TSLA,特斯拉,2022-12-31 00:00:00,年报,2022/FY,001003,1560000000,基于股票的补偿费
39,TSLA.O,TSLA,特斯拉,2021-12-31 00:00:00,年报,2021/FY,001003,2121000000,基于股票的补偿费
40,TSLA.O,TSLA,特斯拉,2020-12-31 00:00:00,年报,2020/FY,001003,1734000000,基于股票的补偿费
41,TSLA.O,TSLA,特斯拉,2019-12-31 00:00:00,年报,2019/FY,001003,898000000,基于股票的补偿费
42,TSLA.O,TSLA,特斯拉,2018-12-31 00:00:00,年报,2018/FY,001003,749000000,基于股票的补偿费
43,TSLA.O,TSLA,特斯拉,2017-12-31 00:00:00,年报,2017/FY,001003,467000000,基于股票的补偿费
44,TSLA.O,TSLA,特斯拉,2016-12-31 00:00:00,年报,2016/FY,001003,334225000,基于股票的补偿费
45,TSLA.O,TSLA,特斯拉,2015-12-31 00:00:00,年报,2015/FY,001003,197999000,基于股票的补偿费
46,TSLA.O,TSLA,特斯拉,2014-12-31 00:00:00,年报,2014/FY,001003,156496000,基于股票的补偿费
47,TSLA.O,TSLA,特斯拉,2013-12-31 00:00:00,年报,2013/FY,001003,80737000,基于股票的补偿费
48,TSLA.O,TSLA,特斯拉,2012-12-31 00:00:00,年报,2012/FY,001003,50145000,基于股票的补偿费
49,TSLA.O,TSLA,特斯拉,2011-12-31 00:00:00,年报,2011/FY,001003,29419000,基于股票的补偿费
50,TSLA.O,TSLA,特斯拉,2009-12-31 00:00:00,年报,2009/FY,001003,1434000,基于股票的补偿费
51,TSLA.O,TSLA,特斯拉,2008-12-31 00:00:00,年报,2008/FY,001003,437000,基于股票的补偿费
52,TSLA.O,TSLA,特斯拉,2007-12-31 00:00:00,年报,2007/FY,001003,198000,基于股票的补偿费
53,TSLA.O,TSLA,特斯拉,2006-12-31 00:00:00,年报,2006/FY,001003,23000,基于股票的补偿费
54,TSLA.O,TSLA,特斯拉,2024-12-31 00:00:00,年报,2024/FY,001004,335000000,减值及拨备
55,TSLA.O,TSLA,特斯拉,2023-12-31 00:00:00,年报,2023/FY,001004,463000000,减值及拨备
56,TSLA.O,TSLA,特斯拉,2022-12-31 00:00:00,年报,2022/FY,001004,177000000,减值及拨备
57,TSLA.O,TSLA,特斯拉,2021-12-31 00:00:00,年报,2021/FY,001004,140000000,减值及拨备
58,TSLA.O,TSLA,特斯拉,2020-12-31 00:00:00,年报,2020/FY,001004,202000000,减值及拨备
59,TSLA.O,TSLA,特斯拉,2019-12-31 00:00:00,年报,2019/FY,001004,193000000,减值及拨备
60,TSLA.O,TSLA,特斯拉,2018-12-31 00:00:00,年报,2018/FY,001004,85000000,减值及拨备
61,TSLA.O,TSLA,特斯拉,2017-12-31 00:00:00,年报,2017/FY,001004,132000000,减值及拨备
62,TSLA.O,TSLA,特斯拉,2016-12-31 00:00:00,年报,2016/FY,001004,65520000,减值及拨备
63,TSLA.O,TSLA,特斯拉,2015-12-31 00:00:00,年报,2015/FY,001004,44940000,减值及拨备
64,TSLA.O,TSLA,特斯拉,2014-12-31 00:00:00,年报,2014/FY,001004,15609000,减值及拨备
65,TSLA.O,TSLA,特斯拉,2013-12-31 00:00:00,年报,2013/FY,001004,8918000,减值及拨备
66,TSLA.O,TSLA,特斯拉,2012-12-31 00:00:00,年报,2012/FY,001004,4929000,减值及拨备
67,TSLA.O,TSLA,特斯拉,2011-12-31 00:00:00,年报,2011/FY,001004,1828000,减值及拨备
68,TSLA.O,TSLA,特斯拉,2009-12-31 00:00:00,年报,2009/FY,001004,1353000,减值及拨备
69,TSLA.O,TSLA,特斯拉,2008-12-31 00:00:00,年报,2008/FY,001004,4297000,减值及拨备
70,TSLA.O,TSLA,特斯拉,2007-12-31 00:00:00,年报,2007/FY,001004,0,减值及拨备
71,TSLA.O,TSLA,特斯拉,2024-12-31 00:00:00,年报,2024/FY,001005,477000000,递延所得税
72,TSLA.O,TSLA,特斯拉,2023-12-31 00:00:00,年报,2023/FY,001005,-6349000000,递延所得税
73,TSLA.O,TSLA,特斯拉,2022-12-31 00:00:00,年报,2022/FY,001005,-196000000,递延所得税
74,TSLA.O,TSLA,特斯拉,2021-12-31 00:00:00,年报,2021/FY,001005,-149000000,递延所得税
75,TSLA.O,TSLA,特斯拉,2021-12-31 00:00:00,年报,2021/FY,001006,-27000000,资产处置损益
76,TSLA.O,TSLA,特斯拉,2020-12-31 00:00:00,年报,2020/FY,001006,0,资产处置损益
77,TSLA.O,TSLA,特斯拉,2018-12-31 00:00:00,年报,2018/FY,001006,162000000,资产处置损益
78,TSLA.O,TSLA,特斯拉,2017-12-31 00:00:00,年报,2017/FY,001006,106000000,资产处置损益
79,TSLA.O,TSLA,特斯拉,2016-12-31 00:00:00,年报,2016/FY,001006,34633000,资产处置损益
80,TSLA.O,TSLA,特斯拉,2015-12-31 00:00:00,年报,2015/FY,001006,37723000,资产处置损益
81,TSLA.O,TSLA,特斯拉,2014-12-31 00:00:00,年报,2014/FY,001006,14178000,资产处置损益
82,TSLA.O,TSLA,特斯拉,2013-12-31 00:00:00,年报,2013/FY,001006,1796000,资产处置损益
83,TSLA.O,TSLA,特斯拉,2012-12-31 00:00:00,年报,2012/FY,001006,154000,资产处置损益
84,TSLA.O,TSLA,特斯拉,2009-12-31 00:00:00,年报,2009/FY,001006,385000,资产处置损益
85,TSLA.O,TSLA,特斯拉,2008-12-31 00:00:00,年报,2008/FY,001006,0,资产处置损益
86,TSLA.O,TSLA,特斯拉,2007-12-31 00:00:00,年报,2007/FY,001006,2421000,资产处置损益
87,TSLA.O,TSLA,特斯拉,2006-12-31 00:00:00,年报,2006/FY,001006,0,资产处置损益
88,TSLA.O,TSLA,特斯拉,2013-12-31 00:00:00,年报,2013/FY,001008,-10692000,重估盈余
89,TSLA.O,TSLA,特斯拉,2012-12-31 00:00:00,年报,2012/FY,001008,1854000,重估盈余
90,TSLA.O,TSLA,特斯拉,2011-12-31 00:00:00,年报,2011/FY,001008,2750000,重估盈余
91,TSLA.O,TSLA,特斯拉,2009-12-31 00:00:00,年报,2009/FY,001008,1128000,重估盈余
92,TSLA.O,TSLA,特斯拉,2008-12-31 00:00:00,年报,2008/FY,001008,2800000,重估盈余
93,TSLA.O,TSLA,特斯拉,2007-12-31 00:00:00,年报,2007/FY,001008,-36000,重估盈余
94,TSLA.O,TSLA,特斯拉,2006-12-31 00:00:00,年报,2006/FY,001008,-196000,重估盈余
95,TSLA.O,TSLA,特斯拉,2024-12-31 00:00:00,年报,2024/FY,001009,-73000000,汇兑损益
96,TSLA.O,TSLA,特斯拉,2023-12-31 00:00:00,年报,2023/FY,001009,-144000000,汇兑损益
97,TSLA.O,TSLA,特斯拉,2022-12-31 00:00:00,年报,2022/FY,001009,81000000,汇兑损益
98,TSLA.O,TSLA,特斯拉,2021-12-31 00:00:00,年报,2021/FY,001009,-55000000,汇兑损益
99,TSLA.O,TSLA,特斯拉,2020-12-31 00:00:00,年报,2020/FY,001009,114000000,汇兑损益
100,TSLA.O,TSLA,特斯拉,2019-12-31 00:00:00,年报,2019/FY,001009,-48000000,汇兑损益
101,TSLA.O,TSLA,特斯拉,2018-12-31 00:00:00,年报,2018/FY,001009,-2000000,汇兑损益
102,TSLA.O,TSLA,特斯拉,2017-12-31 00:00:00,年报,2017/FY,001009,52000000,汇兑损益
103,TSLA.O,TSLA,特斯拉,2016-12-31 00:00:00,年报,2016/FY,001009,-29183000,汇兑损益
104,TSLA.O,TSLA,特斯拉,2015-12-31 00:00:00,年报,2015/FY,001009,55765000,汇兑损益
105,TSLA.O,TSLA,特斯拉,2014-12-31 00:00:00,年报,2014/FY,001009,-1891000,汇兑损益
106,TSLA.O,TSLA,特斯拉,2013-12-31 00:00:00,年报,2013/FY,001009,-13498000,汇兑损益
107,TSLA.O,TSLA,特斯拉,2012-12-31 00:00:00,年报,2012/FY,001009,143000,汇兑损益
108,TSLA.O,TSLA,特斯拉,2011-12-31 00:00:00,年报,2011/FY,001009,0,汇兑损益
109,TSLA.O,TSLA,特斯拉,2024-12-31 00:00:00,年报,2024/FY,001097,-417000000,经营业务调整其他项目
110,TSLA.O,TSLA,特斯拉,2023-12-31 00:00:00,年报,2023/FY,001097,81000000,经营业务调整其他项目
111,TSLA.O,TSLA,特斯拉,2022-12-31 00:00:00,年报,2022/FY,001097,480000000,经营业务调整其他项目
112,TSLA.O,TSLA,特斯拉,2021-12-31 00:00:00,年报,2021/FY,001097,245000000,经营业务调整其他项目
113,TSLA.O,TSLA,特斯拉,2020-12-31 00:00:00,年报,2020/FY,001097,525000000,经营业务调整其他项目
114,TSLA.O,TSLA,特斯拉,2019-12-31 00:00:00,年报,2019/FY,001097,332000000,经营业务调整其他项目
115,TSLA.O,TSLA,特斯拉,2018-12-31 00:00:00,年报,2018/FY,001097,49000000,经营业务调整其他项目
116,TSLA.O,TSLA,特斯拉,2017-12-31 00:00:00,年报,2017/FY,001097,193000000,经营业务调整其他项目
117,TSLA.O,TSLA,特斯拉,2016-12-31 00:00:00,年报,2016/FY,001097,-103906000,经营业务调整其他项目
118,TSLA.O,TSLA,特斯拉,2015-12-31 00:00:00,年报,2015/FY,001097,20382000,经营业务调整其他项目
119,TSLA.O,TSLA,特斯拉,2014-12-31 00:00:00,年报,2014/FY,001097,7471000,经营业务调整其他项目
120,TSLA.O,TSLA,特斯拉,2013-12-31 00:00:00,年报,2013/FY,001097,1815000,经营业务调整其他项目
121,TSLA.O,TSLA,特斯拉,2012-12-31 00:00:00,年报,2012/FY,001097,1406000,经营业务调整其他项目
122,TSLA.O,TSLA,特斯拉,2011-12-31 00:00:00,年报,2011/FY,001097,233000,经营业务调整其他项目
123,TSLA.O,TSLA,特斯拉,2009-12-31 00:00:00,年报,2009/FY,001097,1218000,经营业务调整其他项目
124,TSLA.O,TSLA,特斯拉,2008-12-31 00:00:00,年报,2008/FY,001097,2447000,经营业务调整其他项目
