,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,REPORT_TYPE,REPORT,STD_ITEM_CODE,AMOUNT,ITEM_NAME
0,TSLA.O,TSLA,特斯拉,2024-12-31 00:00:00,年报,2024/FY,004001001,97690000000.0,主营收入
1,TSLA.O,TSLA,特斯拉,2023-12-31 00:00:00,年报,2023/FY,004001001,96773000000.0,主营收入
2,TSLA.O,TSLA,特斯拉,2022-12-31 00:00:00,年报,2022/FY,004001001,81462000000.0,主营收入
3,TSLA.O,TSLA,特斯拉,2021-12-31 00:00:00,年报,2021/FY,004001001,53823000000.0,主营收入
4,TSLA.O,TSLA,特斯拉,2020-12-31 00:00:00,年报,2020/FY,004001001,31536000000.0,主营收入
5,TSLA.O,TSLA,特斯拉,2019-12-31 00:00:00,年报,2019/FY,004001001,24578000000.0,主营收入
6,TSLA.O,TSLA,特斯拉,2018-12-31 00:00:00,年报,2018/FY,004001001,21461000000.0,主营收入
7,TSLA.O,TSLA,特斯拉,2017-12-31 00:00:00,年报,2017/FY,004001001,11759000000.0,主营收入
8,TSLA.O,TSLA,特斯拉,2016-12-31 00:00:00,年报,2016/FY,004001001,7000132000.0,主营收入
9,TSLA.O,TSLA,特斯拉,2015-12-31 00:00:00,年报,2015/FY,004001001,4046025000.0,主营收入
10,TSLA.O,TSLA,特斯拉,2014-12-31 00:00:00,年报,2014/FY,004001001,3198356000.0,主营收入
11,TSLA.O,TSLA,特斯拉,2013-12-31 00:00:00,年报,2013/FY,004001001,2013496000.0,主营收入
12,TSLA.O,TSLA,特斯拉,2012-12-31 00:00:00,年报,2012/FY,004001001,413256000.0,主营收入
13,TSLA.O,TSLA,特斯拉,2011-12-31 00:00:00,年报,2011/FY,004001001,204242000.0,主营收入
14,TSLA.O,TSLA,特斯拉,2010-12-31 00:00:00,年报,2010/FY,004001001,116744000.0,主营收入
15,TSLA.O,TSLA,特斯拉,2009-12-31 00:00:00,年报,2009/FY,004001001,111943000.0,主营收入
16,TSLA.O,TSLA,特斯拉,2008-12-31 00:00:00,年报,2008/FY,004001001,14742000.0,主营收入
17,TSLA.O,TSLA,特斯拉,2007-12-31 00:00:00,年报,2007/FY,004001001,73000.0,主营收入
18,TSLA.O,TSLA,特斯拉,2024-12-31 00:00:00,年报,2024/FY,004001999,97690000000.0,营业收入
19,TSLA.O,TSLA,特斯拉,2023-12-31 00:00:00,年报,2023/FY,004001999,96773000000.0,营业收入
20,TSLA.O,TSLA,特斯拉,2022-12-31 00:00:00,年报,2022/FY,004001999,81462000000.0,营业收入
21,TSLA.O,TSLA,特斯拉,2021-12-31 00:00:00,年报,2021/FY,004001999,53823000000.0,营业收入
22,TSLA.O,TSLA,特斯拉,2020-12-31 00:00:00,年报,2020/FY,004001999,31536000000.0,营业收入
23,TSLA.O,TSLA,特斯拉,2019-12-31 00:00:00,年报,2019/FY,004001999,24578000000.0,营业收入
24,TSLA.O,TSLA,特斯拉,2018-12-31 00:00:00,年报,2018/FY,004001999,21461000000.0,营业收入
25,TSLA.O,TSLA,特斯拉,2017-12-31 00:00:00,年报,2017/FY,004001999,11759000000.0,营业收入
26,TSLA.O,TSLA,特斯拉,2016-12-31 00:00:00,年报,2016/FY,004001999,7000132000.0,营业收入
27,TSLA.O,TSLA,特斯拉,2015-12-31 00:00:00,年报,2015/FY,004001999,4046025000.0,营业收入
28,TSLA.O,TSLA,特斯拉,2014-12-31 00:00:00,年报,2014/FY,004001999,3198356000.0,营业收入
29,TSLA.O,TSLA,特斯拉,2013-12-31 00:00:00,年报,2013/FY,004001999,2013496000.0,营业收入
30,TSLA.O,TSLA,特斯拉,2012-12-31 00:00:00,年报,2012/FY,004001999,413256000.0,营业收入
31,TSLA.O,TSLA,特斯拉,2011-12-31 00:00:00,年报,2011/FY,004001999,204242000.0,营业收入
32,TSLA.O,TSLA,特斯拉,2010-12-31 00:00:00,年报,2010/FY,004001999,116744000.0,营业收入
33,TSLA.O,TSLA,特斯拉,2009-12-31 00:00:00,年报,2009/FY,004001999,111943000.0,营业收入
34,TSLA.O,TSLA,特斯拉,2008-12-31 00:00:00,年报,2008/FY,004001999,14742000.0,营业收入
35,TSLA.O,TSLA,特斯拉,2007-12-31 00:00:00,年报,2007/FY,004001999,73000.0,营业收入
36,TSLA.O,TSLA,特斯拉,2024-12-31 00:00:00,年报,2024/FY,004003001,80240000000.0,主营成本
37,TSLA.O,TSLA,特斯拉,2023-12-31 00:00:00,年报,2023/FY,004003001,79113000000.0,主营成本
38,TSLA.O,TSLA,特斯拉,2022-12-31 00:00:00,年报,2022/FY,004003001,60609000000.0,主营成本
39,TSLA.O,TSLA,特斯拉,2021-12-31 00:00:00,年报,2021/FY,004003001,40217000000.0,主营成本
40,TSLA.O,TSLA,特斯拉,2020-12-31 00:00:00,年报,2020/FY,004003001,24906000000.0,主营成本
41,TSLA.O,TSLA,特斯拉,2019-12-31 00:00:00,年报,2019/FY,004003001,20509000000.0,主营成本
42,TSLA.O,TSLA,特斯拉,2018-12-31 00:00:00,年报,2018/FY,004003001,17419000000.0,主营成本
43,TSLA.O,TSLA,特斯拉,2017-12-31 00:00:00,年报,2017/FY,004003001,9536000000.0,主营成本
44,TSLA.O,TSLA,特斯拉,2016-12-31 00:00:00,年报,2016/FY,004003001,5400875000.0,主营成本
45,TSLA.O,TSLA,特斯拉,2015-12-31 00:00:00,年报,2015/FY,004003001,3122522000.0,主营成本
46,TSLA.O,TSLA,特斯拉,2014-12-31 00:00:00,年报,2014/FY,004003001,2316685000.0,主营成本
47,TSLA.O,TSLA,特斯拉,2013-12-31 00:00:00,年报,2013/FY,004003001,1557234000.0,主营成本
48,TSLA.O,TSLA,特斯拉,2012-12-31 00:00:00,年报,2012/FY,004003001,383189000.0,主营成本
49,TSLA.O,TSLA,特斯拉,2011-12-31 00:00:00,年报,2011/FY,004003001,142647000.0,主营成本
50,TSLA.O,TSLA,特斯拉,2009-12-31 00:00:00,年报,2009/FY,004003001,102408000.0,主营成本
51,TSLA.O,TSLA,特斯拉,2008-12-31 00:00:00,年报,2008/FY,004003001,15883000.0,主营成本
52,TSLA.O,TSLA,特斯拉,2007-12-31 00:00:00,年报,2007/FY,004003001,9000.0,主营成本
53,TSLA.O,TSLA,特斯拉,2024-12-31 00:00:00,年报,2024/FY,004003999,80240000000.0,营业成本
54,TSLA.O,TSLA,特斯拉,2023-12-31 00:00:00,年报,2023/FY,004003999,79113000000.0,营业成本
55,TSLA.O,TSLA,特斯拉,2022-12-31 00:00:00,年报,2022/FY,004003999,60609000000.0,营业成本
56,TSLA.O,TSLA,特斯拉,2021-12-31 00:00:00,年报,2021/FY,004003999,40217000000.0,营业成本
57,TSLA.O,TSLA,特斯拉,2020-12-31 00:00:00,年报,2020/FY,004003999,24906000000.0,营业成本
58,TSLA.O,TSLA,特斯拉,2019-12-31 00:00:00,年报,2019/FY,004003999,20509000000.0,营业成本
59,TSLA.O,TSLA,特斯拉,2018-12-31 00:00:00,年报,2018/FY,004003999,17419000000.0,营业成本
60,TSLA.O,TSLA,特斯拉,2017-12-31 00:00:00,年报,2017/FY,004003999,9536000000.0,营业成本
61,TSLA.O,TSLA,特斯拉,2016-12-31 00:00:00,年报,2016/FY,004003999,5400875000.0,营业成本
62,TSLA.O,TSLA,特斯拉,2015-12-31 00:00:00,年报,2015/FY,004003999,3122522000.0,营业成本
63,TSLA.O,TSLA,特斯拉,2014-12-31 00:00:00,年报,2014/FY,004003999,2316685000.0,营业成本
64,TSLA.O,TSLA,特斯拉,2013-12-31 00:00:00,年报,2013/FY,004003999,1557234000.0,营业成本
65,TSLA.O,TSLA,特斯拉,2012-12-31 00:00:00,年报,2012/FY,004003999,383189000.0,营业成本
66,TSLA.O,TSLA,特斯拉,2011-12-31 00:00:00,年报,2011/FY,004003999,142647000.0,营业成本
67,TSLA.O,TSLA,特斯拉,2010-12-31 00:00:00,年报,2010/FY,004003999,86013000.0,营业成本
68,TSLA.O,TSLA,特斯拉,2009-12-31 00:00:00,年报,2009/FY,004003999,102408000.0,营业成本
69,TSLA.O,TSLA,特斯拉,2008-12-31 00:00:00,年报,2008/FY,004003999,15883000.0,营业成本
70,TSLA.O,TSLA,特斯拉,2007-12-31 00:00:00,年报,2007/FY,004003999,9000.0,营业成本
71,TSLA.O,TSLA,特斯拉,2024-12-31 00:00:00,年报,2024/FY,004005999,17450000000.0,毛利
72,TSLA.O,TSLA,特斯拉,2023-12-31 00:00:00,年报,2023/FY,004005999,17660000000.0,毛利
73,TSLA.O,TSLA,特斯拉,2022-12-31 00:00:00,年报,2022/FY,004005999,20853000000.0,毛利
74,TSLA.O,TSLA,特斯拉,2021-12-31 00:00:00,年报,2021/FY,004005999,13606000000.0,毛利
75,TSLA.O,TSLA,特斯拉,2020-12-31 00:00:00,年报,2020/FY,004005999,6630000000.0,毛利
